anaoxygenic photosynthesis	A type of photosynthesis in green and purple bacteria in which oxygen is not produced
antimetabolite**	An antimetabolite is a structural analog of an intermediate (substrate or coenzyme) in a physiologically occurring metabolic pathway that acts by replacing the natural substrate thus blocking or diverting the biosynthesis of physiologically important substances.
gram molecular weight	The weight in grams of a compound that is numerically equal to its molecular weight; the weight of 1 mole.
primary succession	A type of ecological succession that occurs in a virtually lifeless area, where there were originally no organisms and where soil has not yet formed.
photon	Elementary particle of light and other electromagnetic radiation.
alkyl group	General term for a group of covalently linked carbon and hydrogen atoms such as methyl (–CH3) or ethyl (–CH2CH3) groups
monomer	(from mono meaning "one" and meros meaning "unit")
grade	A level of phenotypic organization or adaptation reached by one or more species
hplc	see high-performance liquid chromatography
glycosidic bond	The covalent linkage between two monosaccharide residues formed by a condensation reaction in which one carbon, usually carbon #1, of one sugar reacts with a hydroxyl group on a second sugar with the loss of a water molecule
egg-polarity gene	Determines the major axes of development in an early fruit fly embryo
calcium	KAL-see-uhm/ Silver-white metallic element
lactose	A disaccharide made from glucose and galactose
glycogenolysis	Breakdown of glycogen to glucose 6-phosphate; stimulated by a rise in cAMP following epinephrine stimulation of cells and, in muscle, by a rise in Ca2+ following neuronal stimulation
tertiary structure	In proteins, the three dimensional folding of the protein due to hydrophobic and hydrophilic interactions with water
oxidation	Loss of electrons from an atom, as occurs during the addition of oxygen to a molecule or when a hydrogen is removed
chalybeate	steely in appearance.
character	a quality of form, color or structure.
covariance	A measure of how much two variables change together.
nonmetals	elements with varied appearances that do not conduct electricity or heat well
succineous	resembling amber in color or appearance.
etiology	The study of causes or origins of a disease.
literate	ornamented with characters like letters.
phagemid	A phage-plasmid vector able to replicate as single- or double-stranded DNA.
produced	drawn out; prolonged; extended from.
anaerobe	An organism that lives without oxygen
autoradiography	A photographic image produced exposing photographic film to a radiolabeled molecule (e.g
leucocyte	see white blood cell
glycosyltransferase	Glycosyltransferases produce glycosidic bonds by transferring a glycosyl group  any group formed by detaching the glycosidic hydroxyl group from the cyclic form of a monosaccharide, oligosaccharide or derivatives.
chromosome condensation	Process by which a chromosome becomes packed up into a more compact structure prior to M phase of the cell cycle.
calorie	KAL-er-ee/ The amount of heat needed to raise one gram of water from 14.5˚ to 15.5˚C at a pressure of one atmosphere.
carcinoma	A malignant tumor derived from epithelial cells.
galvanic cell	device that converts the energy released in a spontaneous chemical reaction into electrical energy
propulsatory	that which drives onward or forward.
chemostat	Continuous culture device usually controlled by the concentration of limiting nutrient and dilution rate.
cassette	A gene fragment that can be cloned into a site to confer some property
operationalize	The process of converting concepts into specific observable behaviors that a researcher can measure.
protein complementarity	combining foods that complement essential amino acid content so that the total diet provides a complete supply of amino acids
cell wall	A tough outer coating found in many plant, fungal, and bacterial cells that accounts for their ability to withstand mechanical stress or abrupt changes in osmotic pressure
rod	See bacillus.
cephalon	the head.
nf-kb	Abbreviation for NF-kappa B.
amphotropic virus	A virus that infects a wide range of mammalian host cell types.
linking number	The net number of times one polynucleotide chain crosses over another polynucleotide chain
vein	A macroscopic blood vessel that carries blood toward the heart.
virion	An infectious virus particle.
score	To determine the presence or absence of a phenotype by testing for growth under different conditions (e.g., plus and minus an auxotrophic supplement or permissive and nonpermissive conditions)
acanthus	a spine, spur or prickle.
oogenesis	formation and maturation of the egg.
nad	Nicotinamide adenosine dinucleotide; an electron carrier involved in cellular metabolism
pulmocutaneous circuit	The route of circulation that directs blood to the skin and lungs.
chromosomes	Tiny thread-like structures inside each cell
restriction enzyme	Any enzyme that recognizes and cleaves a specific short sequence, the restriction site, in double-stranded DNA molecules
symptoms	Changes in the body or its functions, experienced by the patient and indicative of disease.
pinocytosis	The active taking in of bulk fluids by a cell using endocytosis
protein complex	a group of two or more associated proteins that function together to perform a specific task or make a certain structure.
molar	A unit of measure of chemical concentration; specifically, the molar concentration is the number of moles dissolved in a liter of solution.
adp	Abbreviation for adenosine diphosphate.
isolating barrier	A genetically determined difference between populations that restricts or prevents gene flow between them
photon	The ultimate unit (a quantum) of light energy.
scrotal circumference	Simple maximal circumference measured around the central portion of the paired testes.
z dna	An alternative, left-handed form of the double helix.
inbreeding	Mating of related animals resulting in a non-zero probability that alleles at a particular locus are identical by descent
marsupial	n
inflammation	Characteristic reaction to foreign particles and noxious stimuli, resulting in redness, swelling, heat, and pain.
chondrichthyan	Member of the class Chondrichthyes, vertebrates with skeletons made mostly of cartilage, such as sharks and rays.
storage battery	battery that is capable of storing electrical energy
emesis	vomiting (sometimes caused by EMETICS).
monotrichous	Having a single polar flagellum.
gastrodermis	In cnidarians, the endodermis which lines the gut cavity
tumorigenesis	The mechanism of tumor formation.
leucine zipper	Common structural motif in some dimeric eukaryotic transcription factors characterized by a C-terminal coiled-coil dimerization domain and N-terminal DNA-binding domain
glycogen	A large, complex carbohydrate molecule stored in the liver and muscles
munite -us	armed; provided with an armature.
desmosome	A type of intercellular junction in animal cells that functions as an anchor.
ionic bond	A bond between two atoms involving a complete transfer of electrons
retroarcuate	curved backwards.
associative symbiosis	Close but relatively casual interaction between two dissimilar organisms or biological systems
perception	The interpretation of sensations by the brain
apoptosis	Programmed cell death.
in vitro	Reactions that take place outside of the cell; in a test tube.
repressible enzyme	In bacteria, an enzyme whose synthesis is inhibited when its reaction product is readily available to the cell.
substrate-level phosphorylation	Synthesis of high-energy phosphate bonds through reaction of inorganic phosphate with an activated (usually) organic substrate.
surface-to-volume ratio	The ratio of the total area of the outer surface of a three-dimensional object over the volume of that object.
wassermann test	A complement fixation test used to diagnose syphilis.
expected number	Prediction of the number of observations occurring for an event based on the probability of the event given the hypothesis being tested and the total number of observations in the sample.
cell fate	In developmental biology, describes what a particular cell at a given stage of development will normally give rise to.
nanometer	n
absorption spectrum	The amount of light taken up by a series of pigments across a particular range of wavelengths
reactive oxygen species	A highly reactive free radical that can result from excessive levels of iron in the body.
cofactor	A small molecule, which may be organic (that is, a coenzyme) or inorganic (that is, a metal ion), required by an enzyme in order to function.
adherence	Refers to the ability of bacteria adhea r (stick) to host surfaces.
polar	In the electrical sense, describes a structure (for example, a chemical bond, chemical group, or molecule) with positive charge concentrated toward one end and negative charge toward the other as a result of an uneven distribution of electrons
oligonucleotide	A polynucleotide containing a small number of nucleotides
inheritance	Genetic characters transmitted from one generation to the next.
infra-ocular	situated within the eye, actually or apparently.
f factor	An episomal genetic element that enables a bacterium to transfer extrachromosomal DNA to a second bacterium.
covariance	Measure quantifying the degree to which two characteristics vary together.
fossil	Any evidence of past life, including remains, traces, imprints as well as life history artifacts
target	Free nucleic acid sample/protein/etc
dimeric	/die-MARE-ick/ adj
transferase	An enzyme that catalyzes the transfer of a molecular group from one molecule to another.
association study	Study that compares DNA samples from populations of individuals with and without a specific clinical trait
geologic record	The division of Earths history into time periods, grouped into three eras: Archaean, Proterozoic, and Phanerozoic, and further subdivided into eras and epochs.
carbon dioxide	waste product of respiration
bioinformatics	Computational or algorithmic approaches to the analysis and integration of genomic, proteomic, or chemical data residing in databases
organic chemistry	The study of carbon compounds (organic compounds).
