frequency modulation synthesis	See Wave Table Synthesis.
clip-art	Cartoon-like drawings.
router	A router functions like a traffic officer, directing the flow of data to targets
cem-1	A NEMA grade of industrial laminate having a substrate of woven glass surfaces over a cellulose paper core and a resin binder of epoxy
obj	File extension
biometrics	A method of verifying an individual's identity based on measurement of the individual's physical feature(s) or repeatable actions where those features and/or actions are both unique to that individual and measurable.
cap	CITATION Access Point
skin	An optional add-on to a program which changes its visual appearance but not its functionality
parked domain	A second domain that points to your primary domain
network interface card	See NIC
irc	IRC stands for Internet Relay Chat
primitive operation	an operation of a type that is declared together with the type declaration, and is inherited by other types in the same class of types.
shade	The term shade refers to a color which consists of the basic color (or hue) with black added to it
rmo	Refer to SQL Server Replication Management Objects.
emf	File extension
gmax	File extension
stream	A flow of data into or out of a process as a steady sequence of bytes or characters, without the appearance of being broken up into packets
unicode	There are many languages in the world with many more characters than provided for in the ASCII set
rts	Real Time Strategy
monospaced font	See Non-proportional font.
google apps	Hosted web applications that organizations can use for communication, productivity, and collaboration
idea	International Data Encryption Algorithm.
business process	An activity or set of activities that are part of a service either to a citizen or to another organisational unit within or outside the particular Public Administration.
bitmap file	A bitmap file contains the data for a bitmap image in bit-format
dtmf	Dual Tone Multi-Frequency
cam	Computer Aided Manufacturing.
eeprom	Electronically-Erasable Programmable Read-Only Memory.
pfx	File extension
cloud connect	A group of features that enable the search appliance to return search results from a Google Apps domain, Google Site Search, or Twitter, along with results from its own index.
le	In the suffix after the model number of a video board, this means that the board is a special cut-down version supplied to computer manufacturers for fitting in their products
scalar context	The situation in which an expression is expected by its surroundings (the code calling it) to return a single value rather than a list of values
ber	Basic Encoding Rules
wmp	See "Windows Media Player".
delimiter	A character or string that sets bounds to an arbitrarily-sized textual object, not to be confused with a separator or terminator
ohci	Open Host Controller Interface
ttl	Time to Live: Often abbreviated as TTL, it specifies how long a particular record should be kept in memory before it should be deleted
man	The Unix program that displays online documentation (manual pages) for you.
self-replication*	The ability of an entity such as a living cell to make a copy of itself
colon	: (see that entry).
olap	Online analytical processing.
source format	The original format of content retrieved from an external data source by a Wireless adapter
qt	File extension
platform independent content selection	See PICS
debugging	The detection, location and correction of faults in a program or system.
with clause	a context clause providing access to a library unit from within another program unit.
compound statement	A sequence of simple statements.
domain	There are various parts to a domain name and the last part tells you what kind of site it is
drc	Design Rule Check.
orange book	See Book.
universal resource identifier	See URI
sku	Store-Keeping Unit
requisition	A formal request to purchase items.
fork	To create a child process identical to the parent process at its moment of conception, at least until it gets ideas of its own
down	Inoperative
transformation and lighting	A term used in computer graphics, especially with regard to 3D
mbps	megabits per second
loop counter	A variable that changes through each iteration of the loop, in correlation with how many times the loop has been executed
linked list	A programming technique
spdif port	I/O panel connectors used for digital audio
backbone	A central network connecting other networks together
embed	Simply means to insert into a text file
cdma2000	The system used in 3G mobile phone networks in the USA and Canada.
warez	"Wears" (I think)
ttl	TTL is an acronym for "Time To Live"
packaging	The protective container or housing for an electronic component or die, with external terminals to provide electrical access to the components inside
attribute	the name of a column of a table, indicating the meaning of the data in that column
dmz	De-Militarized Zone
mbsa	Microsoft Baseline Security Analyser
integer division	Division of one integer by another to give the integer quotient (the whole number element of the result) and the remainder
aggregate	an array or record value written as a collection of component values (within parentheses).
xss	Cross Site Scripting
wire transfers	Another form of electronic payment made by a financial institution on behalf of the customer.
type casting	Converting data from one type to another
trigger	An event that causes a handler to be run.
finally block	Block of statements to be executed regardless of whether or not an exception is thrown
minus sign	- (see that entry).
system caret	See "Caret".
controlling parameter	the parameter in a dispatching call (or function return type) that determines which version of the overloaded operation will be called.
spf	Sender Policy Framework
operand	An expression that yields a value that an operator operates on
san	Storage Area Network
mt9	File extension
dos	Disk Operating System
vorbis	See OGG.
plc	Programmable Logic Controller
library unit	In Ada, a library unit is a "top-level" separately compiled program unit
capacity	is the highest possible transmission speed that can be carried on a channel; can be expressed as raw speed or net throughput.
expression	Anything you can legally say in a spot where a value is required
switch	An option you give on a command line to influence the way your program works, usually introduced with a minus sign
xml web services	Units of application logic providing data and services to other applications
printer	Where you get the computer’s printed output, also called hard copy.
left delete key	The key with a large left pointing arrow, located above the RETURN key
covariance	replacing a type by a subtype
silverlight	Microsoft's attempt to rival to the Adobe Flash browser add-in animation format.
script	A program consisting of a set of instructions to an application or utility program
pio	Programmed Input Output
many-to-many association	an association between two classes A and B, where each A can be associated with many B’s, and vice versa
hyperterminal	A program supplied with Windows, used to emulate a VDU
rle	Run-length encoding
source code	A text file comprising code which can be compiled.
value-based identity	Objects are distinguished based on their values
quick launch bar	The set of icons usually displayed on the Taskbar to the immediate right of the Start button when Internet Explorer V4's "New Desktop" option is installed
cpanel package	Pieces of software that are bundled together for archiving and installation
hue	Hue is the feature that makes a particular additive color, that is, the primary color without any black or white, or the color in its purist form.
ampersand	& (see that entry).
c:\windows\temp	The folder used by most programs to store their temporary files
dye-sublimation	A type of printer that transfers heated solid due from a ribbon to specially coated paper, producing continuous tones, like those in a photo produced from a negative.
t3	A digital transmission link with a capacity of 45 Mbit/s, or 28 T1 lines.
interface	The set of properties, methods, indexers, and events exposed by an object that allow other objects to access its data and functionality
directdraw	One part of DirectX.
is-a	A relationship between two objects in which one object is considered to be a more specific version of the other, generic object: "A camel is a mammal." Since the generic object really only exists in a Platonic sense, we usually add a little abstraction to the notion of objects and think of the relationship as being between a generic base class and a specific derived class
bit string	A sequence of bits that is actually being thought of as a sequence of bits, for once.
pim	Personal Information Management
i/o	Input from, or output to, a file or device.
asp	1
active cell markup language	Active Cell Markup Language
tagged type	a type whose values have a run-time type tag, which indicates the specific type from which the value originated
proposer	A person or organisation responding to a call for proposal from the Commission
gue	Great Underground Empire, the setting for almost all the games in the Zork series of adventure games.
uart	"You art"
exception	A fancy term for an error
ipp	Internet Printing Protocol
deprecated	No longer favoured, no longer approved of, obsolete, replaced, no longer in fashion, may be withdrawn shortly
boolean expression	Any expression which can be evaluated as being True or False.
nat	Network Address Translation
parent unit	the library unit whose capabilities are extended when a public or private child unit is declared.
excel	A spreadsheet program published by Microsoft
cdsl	Acronym for Consumer Digital Subscriber Line
page	a block of memory
trk	File extension
discovery	Process when legal or regulatory investigation of records occurs to support or refute pending legal or regulatory proceedings.
gzip	A program which compresses files for disk space conservation, minimizing transfer times, and making the transfer of multiple files easier
dovecot	Mail server software designed for optimal security
scalability	The ability (or otherwise) of a product to perform with a large amount of data, a large number of users, in a large network, etc.
mini 1394 port	This special version of the IEEE 1394 connector is designed specifically for digital video and for connecting digital cameras.
set	Secure Electronic Transactions
shebang	Irish for the whole McGillicuddy
variadic	Said of a function that happily receives an indeterminate number of actual arguments.
cache	A special memory subsystem in which frequently used data values are duplicated for quick access.
assembly language	A programming language in which the instructions are closely related to the computer being programmed
wia	Windows Image Acquisition
gpf	General Protection Fault - see that entry.
hierarchy	a ranking or ordering of abstractions, such as a class hierarchy or a module hierarchy.
update rollup	Microsoft KnowledgeBase article 824684 includes the following definition of this term as used by Microsoft: "An update rollup is a tested, cumulative set of hotfixes, security updates, critical updates, and updates that are packaged together for easy deployment
criminal identity theft	A specific type of ID theft that occurs when a criminal gives another person’s name or personal identification to a law enforcement officer while being arrested.
twitter	Twitter is a microblogging service - the publishing of short messages via text, images or video
meter	A unit of measure equaling about 3.3 feet.
handwritten signature	The scripted name or legal mark of an individual handwritten by that individual and executed or adopted with the present intention to authenticate a writing in a permanent form
wide-area network wan	A computer network that spans a relatively large geographical area
disk space quota	A limit placed on the amount of disk space an account is allowed to use.
service pack	A service pack is a means by which product updates are distributed
composite collections	A set of collections from various Google Search Appliances which the primary search appliance in a unified environment can query
tls	Transport Layer Security
v.21	The standard for full-duplex communication at 300 baud.
java 2 micro edition	J2ME is a Java runtime platform by Sun Microsystems for developing Java applications to run on embedded devices—cellular telephones, Personal Digital Assistants (PDAs).
ppm	Pages per minute
post	Power On Self Tests
rapid application development	Rapid Application Development (RAD) refers to a set of software development methodologies designed to facilitate rapid development and delivery of software systems.
jdk	See Java Developer's Kit.
content manager	The visual interface for creating Wireless services
sbfm:	Microsoft KnowledgeBase article title prefix for articles relating to Microsoft's Small Business Financial Manager, an optional add-on for the Excel spreadsheet program.
dangling statement	A bare, single statement, without any braces, hanging off an if or while conditional
rfc	Request for Comments
mtu	Maximum Transfer Unit
whitespace	A character that moves your cursor but doesn't otherwise put anything on your screen
ilink	See FireWire.
des	Data Encryption Standard
user mode	The non-privileged mode in which application code runs
sme	Small to medium size enterprise (i.e
floating point	A method of storing numbers in "scientific notation", such that the precision of the number is independent of its magnitude (the decimal point "floats")
exec	To throw away the current process's program and replace it with another without exiting the process or relinquishing any resources held (apart from the old memory image).
portal	See Home Page
statement	An instruction in a program written in a high-level language.
snmp	Simple Network Management Protocol
ctd	Crash To Desktop
filter	A program designed to take a stream of input and transform it into a stream of output.
jndi	Java Naming and Directory Interface
tokenizing	Splitting up a program text into tokens
namespace	A domain of names
functional user experience	A set of one or more perceivable units that enables a user to complete the function intended by the author for a given resource via a given access mechanism.
gamepad	A game controller that features a flat surface and many buttons.
constant	A variable that is assigned a value that is never meant to change.
digital certificate	In cryptography, a message that guarantees the authenticity of the data contained within it
rot-13	A simple encryption system.
mortal	A temporary value scheduled to die when the current statement finishes.
utp cable	Unshielded Twisted Pair cable
platform	The entire hardware and software context in which a program runs
pass	The act of sending data or values into a function or applet.
share	Sometimes used as a noun to mean "shared folder", in other words an area of disk space on a computer or to a device such as a printer connected to a computer, which is "shared" - in other words which can accessed by other users via a local area network
pattern	A template used in pattern matching.
all key relation	a relation whose key consists of all its attributes
syntax	The grammatical rules of a programming language.
esc key	The Escape key at the top-left corner of the keyboard
spoiled record / document	A record/document that has no business value and should be disposed based on established retention, transfer, and disposition schedules.
ga	General Availability
node	Thing joined by links
address	Reference to a memory location
case sensitive	An indication that it matters whether you enter an item in lower case or upper case
bibliography markup language	The Bibliography Markup Language encodes bibliographies similar to BibTex
fromelf	The ARM ELF Reader and Image Converter.
local variable	A variable declared in a program block (such as a procedure or function) and accessible only within that program block
csr	Certificate Signing Request
little-endian	From Swift: someone who eats eggs little end first
mpeg-1	The original MPEG standard for storing and retrieving video and audio information, designed for CD-ROM technology
btdt	Chat slang for "Been there, done that".
pen scanner	A hand-held, pen-shaped scanner with which you can re-create drawings or text as image files.
broadband	A way of transmitting large amounts of data, voice, and video that is greater than standard voice grade transmission
tie	The bond between a magical variable and its implementation class
vob	File extension
task	A program loaded into memory and running
xerox parc	See PARC.
wan	"Wan"
substring	A portion of a string, starting at a certain character position (offset) and proceeding for a certain number of characters.
biopolymer markup language	BIOML allows the full specification of all experimental information known about molecular entities composed of biopolymers, for example, proteins and genes
version	A particular issue or release of a hardware or software product
tdd	Refer to Test-Driven Development.
modifier key	A key on a keyboard that works in combination with other keys to do various tasks.
rtfm	What you are told when someone thinks you should Read The Fine Manual.
uvw mapping	In 3D graphics programs, the standard method of specifying which parts of a two dimensional bitmap texture file should be applied to which parts of a three dimensional mesh object.
dropper	A program which when it is run installs another program
unix	An Operating System developed in 1969.
composite type	an Ada type that has components, such as a record or array.
ternary	An operator taking three operands
java vm	Java Virtual Machine
structure	See data structure.
truncating	Emptying a file of existing contents, either automatically when opening a file for writing or explicitly via the truncate function.
if	Interactive Fiction
system	see ‘_system’.
upd:	Microsoft KnowledgeBase article title prefix for articles relating to updates (patches).
automation	A word used by Microsoft with various meanings, including the use of macros and Visual BASIC For Applications coding in Microsoft Office programs such as Word and Excel
public access location	See "Hot Spot".
business process modeling language	The Business Process Modeling Language (BPML) is a meta-language for the modeling of business processes, just as XML is a meta-language for the modeling of business data.
home page	The starting page of a Website
cur	File extension
voucher	Synonymous with a vendor invoice approval
tokener	A module that breaks a program text into a sequence of tokens for later analysis by a parser.
mce	Media Centre Edition (of Windows XP).
hotjava	The browser developed by Sun Microsystems that runs Java applets
mscam	Microsoft Camcorder, a program supplied with Microsoft Office 97 for recording operations on a computer
quicktime	A video file format and associated program (published by Apple)
gena	General Event Notification Architecture
superficial equality	Two objects are superficially equal if they have the same state
plug and play	Often abbreviated PnP
soap	Simple Object Access Protocol
assembly code	code written in assembly (machine) language.
hexadecimal	The format of colours on the web
lookbehind	An assertion that peeks at the string to the left of the current match location.
discrete type	an integer type or an enumeration type.
program unit	a program unit is either a package, a task unit, a protected unit, a protected entry, a generic unit, or a subprogram unit.
v.22bis	The standard for full-duplex modems sending and receiving data across telephone lines at 1200 or 2400 bps.
authorities markup language	The Authorities Markup Language (AuthoritiesML) is a format for the interchange of UNIMARC authority records between applications.
board game markup language	BGML (Board game markup language) is an XML document type for go game (and ultimately all other board games) records/databases.
file	A unit of data storage used by the operating system for organisation.
boss level	A level in a computer game which is more difficult, often involving an enemy with superior powers
palladium	See TCPA.
roxio	A publisher of CD burning software
collection	A term used in Microsoft's style of object oriented programming
conversion	Process of changing records from one medium to another or from one format to another.
hefc	Higher Education Funding Council
overloading	Giving additional meanings to a symbol or construct
t3	A T-carrier that can handle 44.736 Mbps or 672 voice channels.
keyframe	A keyframe is a special kind of frame that contains info about changes in the properties of an object
adsl	Asymmetric Digital Subscriber Line
tint	The tint of a color refers to the result of adding white to a pure color hue
mheg	Multimedia and Hypermedia Experts Group
hubris	Excessive pride, the sort of thing Zeus zaps you for
segment	A program section which can be compiled to occupy a contiguous address space
iis	Internet Information Services
jsp	JavaServer Pages
java	Java is an object-oriented programming language released by Sun in 1992
enterprise architecture	The model of organisation and operation for a Public Administration, as described in a set of interrelated views
extreme programming	XP is founded on cycles of frequent testing, integration, and user review
mipmap	A mipmap is not the same as a bitmap
source code	Usually a high-level language program, but could be assembly code if you write it.
representation	A level of medical data encoding: the process by which as much detail as possible is coded.
application	A kind of software used for productivity or to create things (the software that does the work).
task type	a composite type whose values are tasks.
footprint	geometry of pads for soldering certain electronic component.
discriminated record	a record type that is parameterized by use of a discriminant.
protected content	See controlled-access content.
defining a class	Class names begin w/ capital character.
broadcast	To send a datagram to multiple destinations simultaneously.
actual parameter	A data item passed to a (formal) parameter in a procedure or function
crc	See Cyclic Redundancy Check.
asmx	File extension
great plains	A Microsoft product
wats	Flat rate, or special rate pay-by-the-minute (measured) billing for a specified calling area
rboc	Regional Bell Operating Company
directx	A driver used by games, graphics, and audio programs in Windows.
uuid	Universal Unique Identifier
mbr	Master boot record.
journalling	See Outlook.
nn	Netscape Navigator.
selection	an operator that takes a relation and returns a new relation on the same attributes, with only those rows satisfying a given Boolean expression (prepositional formula)
css	See Cascading Style Sheets.
msts	Microsoft Train Simulator.
loop	A construct that performs something repeatedly, like a roller coaster.
compile time	The time when Perl is trying to make sense of your code, as opposed to when it thinks it knows what your code means and is merely trying to do what it thinks your code says to do, which is run time.
cad	Computer Aided Design.
review	The act of evaluating a document prior to the approval process.
rsa	The most commonly used form of public key encryption
browser	A user agent that allows a user to perceive and interact with information on the Web.
ja	File extension
binary	Numerical representation in base-2; for example, 10001100
algorithm	A well-defined procedure or sequence of steps for solving a problem
hefce	Higher Education Funding Council for England
cd	Carrier Detect
supervariable	An object
rvalue	A value that you might find on the right side of an assignment
dde	links data from one application to another (i.e
evaluate	The act of performing the specified calculation or comparison
dfp	Digital Flat Panel, in other words an LCD screen.
color stop	A special element that indicates a color to be added to a gradient.
fw:	Forwarded
canonical	Reduced to a standard form to facilitate comparison.
fast find	See Find Fast.
visibility	refers to the ability to reference an entity at a location in a program.
feeding	The process by how you direct content to the Google Search Appliance instead of having the search appliance locate content
gsl	File extension
etch	The removal of selected portions of materials to define patterned layers on chips.
loop control statement	Any statement within the body of a loop that can make a loop prematurely stop looping or skip an iteration
stdout	See standard output.
script	A text file that is a program intended to be executed directly rather than compiled to another form of file before execution
dc power	Power that comes from the battery that powers a laptop.
left shift	A bit shift that multiplies the number by some power of 2.
inverse mux	An inverse multiplexer.
run	The act of executing a computer program.
oop	Object Oriented Programming.
se	In the suffix after the model number of an ATI video board, this means that the board is a special cut-down version supplied to computer manufacturers for fitting in their products
module	A miniprogram, essentially equivalent to a function.
simm	Single In-line Memory Module
gui	"goo - eee"
sequence	Consecutive statements processed in order.
machine language	This is the lowest level language
xslt	Extensible Stylesheet Language Transformations
hard reference	A scalarvalue containing the actual address of a referent, such that the referent's reference count accounts for it
scam	a fraudulent business scheme
sourceforge	A web site http://www.sourceforge.net which is designed to allow groups of programmers to collaborate on software projects
nas	Network Attached Storage, or in other words disk servers.
certification	The issuance of a notice that a user or site is trusted for the purpose of security and computer authentication
non-additive join property	see Lossless Join Property.
mod	The operator giving the remainder after integer division.
alert	Pop-up window that displays a message to the user
ergonomics	Adapting work or working conditions to suit the worker.
abstract state machine language	AsmL is the Abstract State Machine Language
module	Assembly subunit
character type	a built-in type consisting of the 256 elements of the Latin-1 Set
dsl	Digital Subscriber Line
rds	Remote Data Service
sbe	Stream Buffer Engine
nested unit	an Ada program unit that is declared inside another program unit, and is therefore not a library unit.
debugger	A program designed to help track down bugs in other programs
melee	A term often used in RPG's (role-playing games)
aim	America Online Instant Messenger
tld	Top Level Domain (see that entry).
up	Operative
t & l	See Transformation And Lighting.
bug	An error in a computer program
nic	Network Interface Card (for connecting a PC to a local area network).
modular type	an unsigned integer type whose values range from 0 to n and exhibit "modulo n" arithmetic.
tnef	Transport Neutral Encapsulation Format
sbsi	Step By Step Interactive
user group	A Wireless object that represents a set of users that are grouped together based on common criteria such as interests, subscription level, or geographic location.
recursion	See "Recursion"
v.34	The standard for full-duplex modems sending and receiving data across phone lines at up to 28,800 bps
system on a chip	A chip that is a self-contained system, including processing, memory and input-output functions.
newline key	See Return Key.
network information system	See NIS
pmc	Project Management Committee
sce	Service Creation Environment
aggregation	a kind of association used to model whole-part relationships
record	Evidence of something an organization did, a memorial of business activity, and information that a company intends on retaining to conduct ordinary business.
token	A morpheme in a programming language, the smallest unit of text with semantic significance.
ipmi	Intelligent Platform Management Interface
ram	Random access memory; a computer component that allows you to store data.
mpeg-2	An extension of the MPEG-1 standard designed for broadcast television, including HDTV
chord query language	ChordQL is the query language for ChordML
callback method	Method that returns the result of an asynchronous processing call
bcc	Blind carbon copy
certificate	A certificate is a statement guaranteeing the identity of a person or the security of a Web site
service	Application providing functionality to other applications
snippets	Small section of text summarizing a search result
policy:	Microsoft KnowledgeBase article title prefix for articles containing guidelines for Microsoft Technical Support (MTS) engineers.
certificate	An electronic means of the proof of identity, for example of an email address or a web site
rtc	Real Time Clock.
proxy	An entity that has the authority to act for another
cer	Canonical Encoding Rules
application	computer software program
vgx	Variational Graphics Extended
bit	Short for binary digit (0 or 1)
killer app	Killer Application
analog circuit	an electrical circuit that provides a continuous quantitative output as a response from its input.
integer	A number with no fractional (decimal) part
unicode technical committee	See UTC
properties	The descriptive characteristics that are part of file type definitions and are automatically assigned to every file of that type
member	A field, property, method, or event declared on a class or struct.
porter	Someone who "carries" software from one platform to another
internet control message protocol	See ICMP
pstn	Public Switched Telephone Network
slice	A selection of any number of elements from a list, array, or hash.
cdma	Code Division Multiple Access, also called Spread Spectrum, a term for a form of digital spread spectrum cellular phone service that assigns a code to all speech bits, sends a scrambled transmission of the encoded speech over the air and reassembles the speech into its original format
kilo	1024 (2 to the tenth power).
gif	Acronym for Graphics Interchange Format
autovivification	A Greco-Roman word meaning "to bring oneself to life"
tca	Trusted Computing Alliance
cover	a set of functional dependencies F covers another such set E, if E is a subset of the closure of F
bit	An integer in the range from 0 to 1, inclusive
logic error	A mistake made by the programmer when designing the code, which compiles and runs but produces an incorrect output.
mutable type	A type whose instance data, fields and properties, can be changed after the instance is created
banner advert	An advert on sites such as search engines
serialization	Conversion of an object (instance) into a data stream of bytes
private	a reserved word used in declaring a private type or private child unit, or at the start of the private part of a package, task or protected unit declaration.
as	File extension
forward slash	/ (see that entry).
mmx	Multi-media Extensions
cross-posting	Sending a message to more than one list at the same time
db	see Database.
tso	File extension
function	Mathematically, a mapping of each of a set of input values to a particular output value
scalable vector graphics	See SVG
jdk	Java Development Kit
array	An ordered sequence of values, stored such that you can easily access any of the values using an integer subscript that specifies the value's offset in the sequence.
