intimo	"intimately"
piano technicians guild	The mission of the Piano Technicians Guild is to promote the highest possible standards of piano service by providing members with opportunities for professional development, by recognizing technical competence through examinations and by advancing the interests of its members.
scherzando	"playfully."
leitmotiv	“light motive”; A short thematic musical passage representing a character or situation in a musical drama
bruscamente	brusquely
scores	The sheets of music that you sing or play from.
romantic	A period in history during the 18th and early 19th centuries where the focus shifted from the neoclassical style to an emotional, expressive, and imaginative style.
larghetto	somewhat slowly; not as slow as largo
a piacere	At pleasure
sospirando	Sighing.
tango	Argentinean dance in 2/4 time.
poi	then
g&s	Short for Gilbert and Sullivan
dissonante	dissonant
lyric	a short, song-like poem of simple character
grand-length keys	As opposed to shorter keys, such as those used in a spinet, grand-length keys are longer in order to have more control over them
plate bushing	The small wood lining for the inside of the hole in the plate in which the tuning pin sits
key dip	The distance that the front of the key travels when it's depressed.
drammatico	dramatically
adagietto	Quite slow
buffa/ buffo	Italian for "comic"; eg opera buffa.
veloce	swift
apron	The forward part of the stage between the curtain and the orchestra pit.
desk	British term for a "mixing board".
short accent	Hit the note hard and short
dampers	Pieces of cloth that are held against the strings in order to prevent or stop the strings from vibrating.
rhapsody	an irregular instrumental composition of the nature of an improvisation
new world	Term given by the Europeans to the Americas
capriccioso	capriciously, unpredictable, volatile
accompagnamento	the accompaniment.
canzone	song”; a short lyrical song, usually reflecting the singer’s state of mind
sul	On
alla marcia	in march style.
quarter tone	Half of a semitone; a pitch division not used in most Western music notation, except in some contemporary art music or experimental music
fieramente	"proudly"
baroque	The period in music history that spans from ca
triplet feel	A musical pattern wherein the beat is subdivided into three equal units instead of the usual two.
geschwind	quickly
front of house	The person responsible for "Front of House" at a theatre manages the audience, whether this is showing people to their seat, general greeting or selling tickets - this is in contrast to those who work "behind the scenes" in wardrobe, props, etc.
classical	Music composed approximately between 1750-1820
doloroso	"painfully"
cell	a short, distinctive melodic and/or rhythmic grouping (like a motive)
dissonante	"dissonant"
agitato	agitated.
etude	A study – usually a piece designed to display the performers technique.
supernumerary	A "spear carrier" or non-singing extra; often peasants, servants, soldiers, or crowds of unidentified people who play backround roles.
pots	The electronic capacitors connected to the other side of a volume knob.
virtuoso	(noun or adjective) performing with exceptional ability, technique, or artistry
opera seria	serious opera
supernumeraries	appear on stage in costume in non-singing and usually, non-speaking roles.
string family	Violin, viola, cello, double bass
chorus	the vocal ensemble of men and women who represent townspeople, relatives, guards, who contribute and comment on the action of the plot.
obbligato	required, indispensable
accarezzévole	expressive and caressing
attack	The very instant that the hammer hits the string to activate it
pastorale	in a pastoral style, peaceful and simple
niente	Nothing.
inversion	Turned upside down as in chords/intervals
ideology	Ideas at the basis of a political or economic theory
pick-style playing	A type of guitar playing that involves dragging a pick across the strings to produce sound.
bridge springs	A set of metal springs that pull a floating bridge in the opposite direction of the strings, thereby holding the bridge in balance.
opéra buffa	Italian comic opera of the eighteenth and nineteenth centuries.
ballad	A story on song
lamentoso	lamenting, mournfully
key button	A cap placed on the top of the key at its pivot point that contains the balance rail bushing.
alt	see in alt.
wound strings	Strings in the lower register that are covered by a copper wrap, wound tightly around the core of the wire
imitation	A phrase reappears slightly altered, but obviously related to its original form.
flats	These are items of stage scenery - large timber constructions, covered with muslin and painted.
adagissimo	very slow
snare drum	The snare drum has a number of strands of metal wires across the bottom skin, which resonates against the skin when struck
set	A construction on stage built to suggest place and time in which the singers enact the story of the opera plot.
l'istesso	see lo stesso, below
quasi	as if, resembling (in the style of)
flange screws	The screw that attaches and secures the flange to its rail.
furioso	"wildly"
guitar humidifier	A saturated rubber-enclosed sponge that clips onto the inside of the sound hole or is kept inside the case to raise the humidity level.
partial	The harmonic tone produced by a segment of the string.
d.s. al fine	(or dal segno al fine) "from the sign to the end": means to return to a place in the music designated by the sign and continue to the end of the piece
tuning fork	A specialized metal instrument used to provide a consistent source of vibration usually at the rate of 440 vibrations per second.
eroico	heroically
andante maestoso	moderately slow, and majestically.
truss rod wrench	A tool specifically designed for adjusting a specific truss rod.
hogshead	A barrel content measuring 272 kilos.
music desk	The sliding shelf where the pianist places music while playing.
eco	the Italian word for "echo"; an effect in which a group of notes is repeated, usually more softly, and perhaps at a different octave, to create an echo effect
morendo	dying away (gradual diminuendo)
molto	"very"
apprentice	A person who learns a trade by working in it for an agreed period at low wages.
notehead	In musical notation, the round part of a note.
plate	The large piece of metal inside the piano that acts as a support for the strings and the tension produced.
raked stage	A stage that is sloped upward toward the rear of the stage allowing audience patrons seated at the back of the theater to see performers at the rear of the stage.
empfindung	"Feeling" (Ger.)
rit.	an abbreviation for ritardando;[1][2][3][4] also less frequently considered an abbreviation for ritenuto[5][6][7]
cadenza	In opera, a solo passage designed to show off a singer's technical abilities, generally occurring at the end of an aria, above the penultimate chord of a cadence
hierachy	System of grades or status ranked above the other.
dolcissimo	most sweetly.
pickups	Bar-like magnets that pick up the vibrations of an electric guitar's strings and transmit those signals to the amplifier.
tonality	Sum of relations existing between the tones of a scale or musical system
dolce	sweetly
libero	free, freely
ostinato	A short musical pattern that is repeated throughout an entire composition or portion of a composition.
spiccato	Detached, with springy bow ( for string players)
suss	Sweet.
microtonal	Referring to sounds that exist between consecutive half steps.
nobilmente	Nobly.
akan	The Akan people are members of an ethnic group who share a common culture and language
largamente	Broadly
cédez	yield, relax the speed
commodity	Article of trade, especially a raw material or product as opposed to a service.
assez	enough, sufficiently
transpose	change the overall pitch up or down.
fuoco	Fire.
espressivo or espr.	expressively
general pause	Rest or pause for the entire orchestra/ensemble.
sul ponticello	in string playing, an indication to bow very near to the bridge, producing a characteristic glassy sound, which emphasizes the higher harmonics at the expense of the fundamental.
interlude	Instrumental music played between scenes in an opera or play
dynamic	the level of softness or loudness.
get-out	A get-out is the opposite of the get-in - the dismantling of sets after the final show.
fermata	Finished, Closed; Usually referred to as a Pause
a capella	This is vocal music or singing without instrumental accompaniment, or a piece intended to be performed in this way.
countertenor	Highest male classical singing voice part
anima	feeling
arioso	Literally "like an aria": an arioso is traditionally a brief, melodic conversational passage in strict time (see "Recitative")
a bene placido	up to the performer
marcatissimo	with much accentuation
opera	work
fortissimo	as loudly as possible (see note at pianissimo, in this list)
bourree	Baroque suite dance in 2/2
negro	Man of African descent.
luminoso	luminously
giusto	strictly, exactly.
zeitoper	"Topical Opera", a populist genre associated with 1920s Germany, especially the work of Krenek and Weill
fuoco	fire; con fuoco means with fire
canzonet	a 'little song' (from the Italian, canzonetta)
espirando	"gasping", dying away
magico	"magically"
balance point	The pivot point of a key, like a see-saw where the front of the key travels downward and the back of the key travels upward.
senza	without
leggiero	lightly.
bellicoso	warlike, aggressive
alternative	Guitar-based rock with desultory male vocalists or chirpy female vocalists
operetta	Little opera
h b	natural (ger.)
minor pentatonic scale	A five-note scale based on a minor key.
agitato	"agitated."
duolo	(Ital) grief
poch.	very little
accentato	accented; with emphasis
batter head	Referencing to the drumhead that is actually played
oboe d’amore	love oboe
omaggio	"celebration"
posato	"settled"
bewegt	moved, with speed
partial segments	A division or segment of the string that can produce a harmonic.
downbearing gauge	A tool for measuring the change in the angle or bend of the wire as it passes over the bridge.The downbearing gauge is used to help determine the optimum amount of downbearing
coperti	covered
ma	"but."
largo assai	very slow.
bulkhead	A partition in a vessel.
power chord	A chord consisting only of roots and fifths.
a prima vista	Sight-read (lit
prestissimo	"extremely quickly."
rescue opera	The name given to an opera in which the scenario revolves around the rescue of a heroine and/or hero from impending peril, whether prison or death
brillante	brilliantly, with sparkle
props	Articles used by the performers to enhance the plot, i.e., handkerchiefs (Othello), bottles of wine (L’elisir d’amore), swords (La Forza del Destino), letters (Eugene Onegin).
dal segno al coda	Repeat from the D.S
contralto	The lowest of the female voices – the same as an alto, but alto is associated with sacred and choral music, whereas contralto is purely operatic.
harmonic rhythm	The rate at which chords change.
timbre	Tone color, quality of sound that distinguishes one verse or instrument to another
opera buffa	Literally, "comic opera," opera buffa draws its comic characters from everyday life.
stage director	the person in charge of the action on stage
ma	but
diaphragmatic soundboard	A soundboard that is slightly thicker in the center than it is on the edge
larghetto	a little bit broad
amabile	"amiable", "pleasant".
giocoso	humorously, (cf
aeolian mode	One of the scales of ancient Greece
viola d'amore	love viola
up weight	The amount of weight a key can lift measured by a piano technician in order to determine how quickly a key will repeat.
doppio	double
tuning fork	A device that produces a single specific reference pitch.
lieder ohne worte	Songs without words
parlante	like speech, enunciated
brillante	brilliant
ossia	or else
touch weight	The measured amount of weight it takes to start a key moving downward.
sotto	under
a piacere	at pleasure; i.e., the performer need not follow the rhythm strictly, for example in a cadenza
col legno	with the wood; i.e., the strings (for example, of a violin) are to be struck with the wood of the bow, making a percussive sound; also battuta col legno: beaten with the wood
cantando	in a singing style
mezzo forte	half loudly; i.e., moderately loudly
pesante	"heavy and ponderous."
trapwork	The system of levers on the underside of the piano that connect the pedals to their respective functions
episode	1) In the development of a Fugue, passages that link the subjects together
metre	the musical equivalent of the 'foot' in poetry.
buzzing	A usually unwanted distortion of a guitar sound created when a string vibrates against the fret wire.
note flag	In musical notation, the little line that comes off the top or bottom of the note stem, indicating note lengths shorter than a quarter note.
overture	Introduction to an opera or other large musical work.
ballet	Dance form in which a story is told through the unification of music and dance
fretted note	A note produced by pressing your finger over the string at a specific point on the fretboard.
comodo	easily
tranquillo	calmly, peacefully
music charts	Electronic Music Charts Samples, synth usage tips and tricks.
affetuoso	Tenderly
yoruba	The Yoruba people are members of an ethnic group who share a common culture and language
sonatine	a little sonata, used in some countries instead of sonatina
baroque	Time in music history ranging from the middle of the 16th to the middle of the 17th centuries
tonic	1st note of a musical scale, also called the keynote
unison	Various singers or instruments singing or playing the same note(s) together
largamente	broadly; i.e., slowly (same as largo)
note stem	A note stem is the vertical line attached to the note head.
legato	Instruction to sing or play smoothly.
vivamente	quickly and lively
allegro di bravura	an allegro performed in brilliant style, i.e., demanding great skill in execution.
periods in music	The table below gives a rough and conveniently rounded off chronology of the various stylistic periods of music.
mezzo forte	half-strong
repente	suddenly
allegro assai	Very quick.
comodo	Convenient (at a convenient pace)
comodo	"comfortable"  At moderate speed.
a cappella	Unaccompanied vocal music
modulation	To shift to another key.
plus	more
molto	much, or very much
brava	(Italian feminine form) meaning "Well done." Audiences say this to a female performer to express appreciation of her work.
multi-laminated pinblock	Layers of maple glued together to make the pinblock with alternating grain for strength.
transposition	Changing the pitch
ritenuto	Held back, slower
zu	Too
clavichord	an instrument with keys, resembling the square piano in appearance
marcia	a march; alla marcia means "in the manner of a march."
trading partner	Person with whom a transaction for something is made.
quasi	in the manner of
truss rod	The adjustable metal rod that runs the length of a guitar’s neck that controls the curvature of the neck and fingerboard.
tuning	The process of adjusting the tension of the piano strings in order to control interval relationships that will produce a consonant sound that is pleasing to the listener.
sordino	see sordina, above
accentato	"with emphasis"
barline	Lines drawn vertically on the stave to separate bars (measures)
allegretto	Slightly less fast than allegro, and perhaps lighter texturally.
goal	Jail, where people are imprisoned.
strap pin	The metal post where the front, or top, end of the strap connects.
encore	a piece that is performed after the last scheduled piece of a concert
mezzo forte	Moderately Loud
contrapuntal	Adjective derived from "counterpoint".
mobile	flexible, changeable
diaspora	Refers to the situation of any group of people dispersed, forcibly or voluntarily, throughout the world.
largo ma non troppo	slow, but not too slow.
progression	The movement of chords in succession.
divisi or div.	divided; i.e., in a part in which several musicians normally play exactly the same notes they are instead to split the playing of the written simultaneous notes among themselves
slentando	becoming broader or slower (that is, becoming more largoor more lento)
ensemble	A group of performers
diva	Literally "goddess." A female opera star
ms	see mano sinistra.
cantabile or cantando	in a singing style
una	one, as for example in the following entries
timbre	the quality of a musical tone that distinguishes voices and instruments
schottische	a dance in two-quarter measure, something like the polka.
giojoso	joyfully, (cf
fanfare	Flourish of trumpets
crescendo molto	increase in power very greatly.
-issimo	a suffix meaning 'extremely', e.g
pinblock	The laminated piece of maple into which the set of tuning pins are driven.
opera	Among the many types of dramatic work with music, opera is distinguished in having all the words of the text set to music
diminished triad	A triad with a o5 divided into two m3s.
figure/figuration	a pattern of notes used repeatedly (generally as an accompaniment).
fortissimo	very strong
con dolore	with sadness
con passione	with passion.
penseroso	thoughtfully, meditatively
staff	Made up of five horizontal parallel lines and the spaces between them on which musical notation is written.
lentemente	slowly.
forza 	musical force
motif	A brief but recognizable musical idea, usually melodic but sometimes rhythmic.
mezzo-soprano	middle-upper
second inversion	A chord with the 5th as the lowest tone.
root position	A chord with the root as the lowest tone.
musical organization	an organization of musicians who perform together
prebend and release	A bending effect that is created when you stretch a string before you strike it, then strike the string, and then release the bend.
attacca	(at the end of a movement): a direction to begin (attack) the next movement immediately, without a gap or pause.
tuba	tube
scale	Musical term referring to successive notes of a key or mode that are either ascending or descending in a specific defined pattern
presser	hurry
cesura or caesura	often called "railroad tracks"; indicates complete break in sound.
à quatre mains	for four hands.
lyre braces	Diagonal braces that support the back of the lyre, preventing forward and backward motion while using the pedals.
sans	without
contrary motion	Melodic lines move in opposite directions.
counter claim	The Emancipation Act of 1834 gave slaves their freedom
floyd rose bridge	The most successful form of floating bridge — a movable bridge system that uses a locking nut to ensure that the bridge returns to its home position — was designed for guitarists who like to use the whammy bar extensively.
pedale	pedal
dynamics	refers to the relative volumes in the execution of a piece of music
primo uomo	first man
siciliano	A slow dance in 6/8 or 12/8
flamenco	Spanish dance with accompanying guitar playing
devoto	religiously
deest	from the Latin deesse meaning absent; placed after a catalogue abbreviation to indicate that this particular work does not appear in it.[2] The plural is desunt and used when referring to several works.
und	And
mezzo or mezza	half, or medium
allegretto	a little lively, moderately fast
patetico	With emotion or feeling.
privateer	Privately owned and officered warship which has been given permission from the government to act in war.
bel-canto	(Italian, “beautiful song”) Refers to the style cultivated in the 18th and 19th centuries of Italian opera
con bravura	with boldness.
battaglia	battle
attacca	attack the next division without any pause.
csardas	Hungarian dance in duple or quadruple measure.
ruhig	Peaceful.
colla	with the (col before a masculine noun, colla before a feminine noun); (see next for example)
allargando	Broadening out.
tranquillo	Quiet and calm.
chorus	A group of singers; The main hook of a song that is repeated many times
concerto grosso	big concert
facile	easy
polytonality	The use of two or more keys at the same time.
oratorio	A musical composition for chorus, orchestra and soloists whose text is usually religious, serious or philosophical
con amore	with tenderness.
motive	A short musical phrase that you repeat.
non troppo	Not too much.
amabile	amiable, pleasant
dolce	Sweetly.
canzone	“song”; a short lyrical song, usually reflecting the singer’s state of mind
finale	The end of the scene, act, opera where often the entire ensemble gathers for the last musical scene.
con slancio	"with enthusiasm."
ravvivando	quicken pace
leitmotiv	A theme that represents a character or idea
nobilmente	in a noble fashion
adagietto	rather slow
hi-tom	The hi-tom, is a drum with skins on both sides of the drum
listing	Often called string braid, the listing is a piece of cloth braided through the far end, non-speaking part of the string to dampen unwanted sounds.
natural	Note other than a sharp or flat
arco	"played with the bow," as opposed to pizzicato "plucked," in music for bowed instruments.
precipitoso	precipitously.
improvvisato	improvised, or as if improvised
sub-dominant	The 4th note of the scale — 1 below (sub) the dominant 5th.
interrupted cadence	Chord V – VI
coloratura	coloration
fuoco	fire
en retenant	slowing
risoluto	resolutely
dynamics	the relative volume in the execution of a piece of music
fortissimo	To be played very loudly, shortened to ff
cornetto	little horn
con spirito	with spirit
symphonic poem	An orchestral work that depicts stories or images
con moto	"with motion."
modesto	modest
gentile	"gently"
alla	In the style of.
sempre	always
tenerezza	Tenderness
l'istesso	the same
brillante	"brilliantly," "with sparkle."
berceuse	A cradle song and a quiet instrumental piece
quality	The color or refinement of the sound produced.
tenerezza	tenderness
risoluto	firmly, resolutely.
calando	falling away, or lowering; i.e., getting slower and quieter; ritardando along with diminuendo
langsamer	Slower
due corde	two strings
intro	opening section
poco a poco	little by little
lento assai	very slowly.
synopsis	a short summary of what takes place in the story.
pianissimo	To be played very softly, shortened to pp
flange bushing	The cloth that lines the hole of an action center in order to keep the flange from making noise.
house left	The left side of the area of the thttp://www.weebly.com/weebly/main.php#heatre where the audience sits from the point of view of a person sitting in a seat facing the stage.
immer	Always (ger.)
estinto	extinct, extinguished; i.e., as soft as possible, lifeless, barely audible
surtitles	the English translations of the opera’s language that are projected above the stage during a performance to help the audience follow the story
fingerboard diagram	A type of guitar notation that indicates where to place your fingers on the neck of the guitar.
poco	little
uptempo	a fast, lively, or increased tempo or played or done in such a tempo.[7]
école	a school or style of composition or performance.
eastern slave trade	A trade in slaves, mainly from Africa, to the Middle East, North Africa and India
compound time	Metrical time such that 3 beats are counted as one; each beat is divisible by 3
ornaments	Notes added to the printed score in performance by a singer
cabaletta	An heroic but brief showpiece (frequently coming after an aria) built upon a rapid, unchanging rhythm
andante con moto	slightly faster than andante.
troppo	"too much"  Usually seen as "non troppo," meaning "moderately" or, when combined with other terms, "not too much," such as "Allegro non troppo."
quasi	Like, similar to.
modes	the old system of scales ousted by the 'invention' of keys in the seventeenth century.
bravo	a form of appreciation shouted by audience members at the end of a particularly pleasing performance
schneller	faster
come	as or similar to (come prima - as before) or (come Sopra- as above)
con moto	with motion
get-in	A get-in is when we are given access to the theatre in which we are performing, and start building the scenery, putting up lighting and helping with the sound equipment
senza sordino	without mute
pants role	A male role portrayed by a female singer
agile	swiftly
risoluto	"Resolutely"  played in a bold manner.
andante sostenuto	moderately slow and sustained.
english action	A typical modern action on a grand piano where the heads of the hammers are oriented away from the keyboard rather than toward it.
bene	well, as in, for example, ben marcato (meaning "well-marked")
dim.	dwindling; i.e., with gradually decreasing volume (same asdecrescendo)
con sordino	with mute
minim	Half-note; 2 beats in duration
divisi/div.	Divide into two or more groups (for orchestral players)
prima donna	first lady
slide	1
drop screw	An adjustment screw of the grand piano action that determines how close the hammer is allowed to approach the string after it is released from the backcheck
elegy	An instrumental lament with praise for the dead.
entrepreneur	Person who undertakes a commercial venture.
ritornello	little return”; An instrumental prelude or interlude that separates the verses.
con sordino	"with the mute."
ma non troppo	But not too much
et	and
amerindian	Original inhabitant of America.
dal segno al fine	Repeat from the D.S
cello	Small violone
rhythm slashes	An indicator in guitar notation that uses slash marks (/) that tell you how to play rhythmically but not what to play.
walking bass line	A bass guitar technique in which a new note is played on every beat of music.
dal segno al coda	same as D.S
stanza	a verse of a song
operetta	A light opera, whether full-length or not, often using spoken dialogue; the plots are romantic and improbable even farcical, the music tuneful. 
morendo	Dying away.
legato	"smoothly"; in a connected manner
wrestplank	another name for the pinblock.
crescendo poco a poco	increase in power very, very gradually.
irato	"angrily"
rall.	Broadening of the tempo (often not discernable from ritardando); progressively slower
cargo	Goods carried on a ship.
impressionism	Term used to describe music by composers such as Ravel and Debussy
romantic	The period of music history approximately from the early-19th to early-20th centuries
principal	Leader of a section of an orchestra, except for first violins who are led by the concertmaster.
rim	The rim is the metal or wooden ring that is used to secure the drum skin to the drum
soli	alone; i.e., executed by a single instrument or voice
medley	Musical term referring to sections of various songs that are performed one after another forming one complete song on its own
amoroso	loving
allargando	broadening, becoming a little slower
transition	See bridge.
giocoso	"gayly."
sempre	always, or continually
deciso	decisively
opera buffa	“funny opera”; a style of comic opera popular in the Baroque period and in Italy in the 19th c
gentile	gently
con energico	with energy.
zelosamente	zeal, zealous, zealously
bravi	(Italian: plural form) A call to show approval for a group of performers at the end of a performance.
dal segno/d.s.	From the sign
soundboard crown	The crown is how much the center of the soundboard rises above being perfectly flat
alto	The highest of the male voices.
con affetto	with affect (that is, with emotion)
atonality	Having no particular key or tonal area.
lusingando	In a coaxing style
sub	under or lower
corpsing	Corpsing is a British theatrical term used to describe when an actor breaks character during a scene by laughing or by causing another cast member to laugh.
stave	Also means Staff
ritmico	rhythmical
musical figure	An independent and self-contained musical phrase, sort of like a sentence when you’re speaking.
di molto	exceedingly—very much
mezzo voce	with half voice.
pianissimo	Very soft
capriccio	caprice
doppio	Double (the speed)
scherzando	Playfully.
pause	To suspend or stop momentarily
repeat	To play a certain section again
mezzo forte	"half loudly"  Directs the musician to play moderately loud
basso profondo	deep and low
downstrokes	1
resurfaced / resurfacing hammers	The process where hammer felts are reshaped with a sandpaper file to remove string cuts.
mente	the ending which changes a noun or adjective to an adverb
tragédie lyrique	The common term for French serious opera of the seventeenth and eighteenth centuries; principal exponents were Lully and Rameau.
tempo	Speed of a piece of music or a song
catch	a round set to humorous words.
marcato	play every note as though it is accented.
staccatissimo	Play the notes very short and detached.
melancolico	"melancholic"
