cable	A molding design resembling intertwined rape.
palplus	A wide screen (16x9) television standard that is broadcast in Europe
gcr	Abbreviation for gray compenent replacement.
post-consumer waste	Paper that has been printed and returned to a paper mill instead of going into a landfill.
sfe	Solar flare effect
draw down	Sample of specified ink and paper, used to evaluate color.
coronal streamer	A large-scale structure in the white-light corona often overlying a principal inversion line in solar photospheric magnetic fields.
scaling	The overall spacing between characters in a block of type.
stratigraphic section	The excavation of trenches and squares across man-made layers to expose a cross section of the deposits and reveal the sequence and methods of construction.
sampling frequency	The number of sample measurements taken from an analog signal in a given period of time
country-western	American vernacular music rooted in the South glorifying the guitar and featuring frank lyrics delivered in an earthy style in southern or country dialect
tk	âTele-Kinematographâ or âTelevision Kinescopeâ, now known as a telecine
column logo	A graphic device that labels regularly appearing material by packaging the writer's name, the column's name and a small mug or drawing of the writer.
colophon	Publication information, which usually appears at the back of a document
four-up	Printing the same image four times on the same sheet.
second-class mail	U.S
jewelling	Ornamental carving in the shape of jewels
mpeg-2	âMoving Picture Experts Groupâ
deathwatch beetle	(Xestobium rufovillosum)
flyer	a www.printinghouse.ie term that outlines a promotional printed material which is neither folded nor stapled
recycled paper	New paper made entirely or in part from old paper
tri-fold	Both sides of a piece are folded inward, usually one-third the length of the piece.
unipolar magnetic region	A large-scale photospheric region where the magnetic elements are predominantly of one polarity (for example, the solar polar regions)
topology	the mathematical study of closeness and connectedness
canopy	A covering, attached to tops of bed posts, consisting of wood frame covered with fabric.
engraver	Person who makes a plate for engraving
ghosting	Transparent duplicate image resulting from signal reflections
pulpit	The speaker stand in the front of a church used by clergy for sermons and Gospel readings
cosmic ray	An extremely energetic and relativistic charged particle.  Galactic Cosmic Rays originate from outside the solar system and the Sun can produce "cosmic rays" during energetic proton events.
mural art	One of the two major categories of Paleolithic art, along with portable art
felinology	the study of cats
leaching	A natural process by which chemicals and minerals are transported downwards through a soil profile.
negative	A representation of an image in which the tones are reversed, blacks as white, and vice versa.
rag paper	Stationery or other forms of stock having a strong percentage content of "cotton rags."
binding	Various methods of securing folded sections together and or fastening them to a cover, to form single copies of a book.
gumming	The application of gum arabic to the non printing areas of a plate.
ambulatory	A covered passage behind the altar, linking it with chapels at the east end of the church.
auto dynamic scene ripple	An option on all da Vinci systems that allows changes made to the scene before a dissolve to be automatically rippled to the next scene (the dissolve).
component video	A video signal where different elements (either luminance and color difference, or Red Green and Blue) are kept as separate signals
symphonic jazz	concert music with the sounds of jazz but no improvisation
copyright	The right of copyright gives protection to the originator of material to prevent use without express permission or acknowledgement of the originator.
fleur-de-lis	(a) a white iris, the royal emblem of France; (b) a stylized representation of an iris, common in artistic design and heraldry.
shikhara	(literally "mountain peak"), a northernstyle Hindu temple tower surmounting a garbha griha, typically curved inward toward the top, with vertical lobes and horizontal segments (bhūmi), and crowned by āmalaka.
bibliography	List of publications providing reference material on a particular subject, usually included in the end-matter of a book.
justified type	Type set flush right and left.
loop stitch	To saddle stitch with staples that are also loops which slip over rings of binders.
remote sensing	Non-intrusive survey methods used to find archaeological sites; these may include aerial reconnaissance and geophysical techniques such as magnetometry, radar, resistivity, and conductivity
stochastic screen	Halftone with dots that vary in placement, not size
leaf	One of a number of folds (each containing two pages) which compose a book or manuscript.
perforating	The process of creating a line of small holes for the purpose of tearing off a part of the page.
cultural tradition	a distinctive toolkit or technology that lasts a long time, at one or several localities.
orchestra	in an ancient Greek theater, a circular space used by the chorus.
corporate charter	A document, filed with a U.S
universal copyright convention	A system to protect unique work from reproducing without knowledge from the originator
impressionalism	style of painting and music that avoids explicit statement instead emphasizing suggestion and atmosphere
dowery chest	Made to store the trousseau of a prospective bride
stripping	The positioning of film on a flat prior to platemaking
estimated hemispherical power input	For the Earth, an estimate made from NOAA particle measurements of the instantaneous power dissipated daily in a single auroral zone by auroral particle precipitation
closed-loop analysis	A continuous improvement process in which data analysis, campaign planning and customer interaction are combined in a virtuous âclosed loopâ where execution of the campaign through customer interaction produces metrics that can be further analyzed for better campaign planning.
flats or flts	Classication of mail, larger than letter-sized, indicative of postal rate.
center spread	The two pages that face each other in the center of a book or publication.
resolution	The quality of digital detail in an image, depending upon its number of dots per inch (dpi).
cairn	A cairn is, in essence, an intentionally-laid pile of rocks.
ex libris	A Latin term meaning "from the library." In the trade, it often refers to a book that was once owned by someone whose ownership adds value, often someone famous
flint	Hard, fine-grained sedimentary rock used by early humans to manufacture stone tools, such as spear and dart points, knives, and other utilitarian tools
phototype	Type created by projecting light onto photosensitive paper.
grave goods	The items that are placed in graves to accompany the deceased.
serpentology	the study of snakes
data	Text, audio, video, and images stored in a form that can be understood by a computer.
neighbour-joining	A distance-based molecular phylogenetic method that involves the sequential addition of taxa and the minimization of branch lengths, but does not assume a molecular clock.
chronology	an arrangement of events in the order in which they occurred.
blade coating	Method of coating paper that ensures a relatively thick covering and level surface, as compared to film coating
spandrel	the triangular area between (a) the side of an arch and the right angle that encloses it or (b) two adjacent arches.
affinity marketing	Campaigning to a customer/consumer group with similar interests.
solar maximum	The month(s) during a sunspot cycle when the smoothed sunspot number reaches a maximum.
hyperlink	An image, word or phrase (usually in color and underlined) that connects you to another Web page.
aerology	the study of the atmosphere
walk sequence	The path the postal carrier walks, assigned by the postal service
grain	Direction of fibers in a sheet of paper governing paper properties such as increased size changes with relative humidity, across the grain, and better folding properties along the grain.
microbiology	the study of microorganisms.
confidence interval	A measure of the reliability of survey results; for example, the plus-or-minus figures reported in opinion poll results.
upright	A term given to books bound on the longer dimension.
screen ruling	Number of rows or lines of dots per inch or centimeter in a screen for making a screen tint or halftone
jet	A compact, black coal that can be highly polished; used to make beads, jewelry, and other decorative objects.
collections management	Collections management attempts to identify the best method of keeping archaeological material preserved and accessible to archaeologists for further study, and/or the general public for educational purposes.
exobiology	the study of life in outer space
postscript	A tradename of Adobe Systems, Inc
ecofact	Any of the remains of plants, animals, sediments, or other unmodified materials that result from human activity.
hopewell interaction sphere	A complex trade network involving goods and information that connected distinct local populations in the midwestern United States from approximately 100 b.c
perf marks	On a "dummy" marking where the perforation is to occur.
linear	a style in which lines are used to depict figures with precise, fully indicated outlines.
reformation	The religious movement that attempted to reform the Catholic Church in the mid-sixteenth century.
bce	BCE stands for "Before the Common Era" and it is basically equivalent to "BC", except that it doesn't have the Christian religious connotations of BC.
baseline	An imaginary line that type rests on.
zipping	Compress and group one or more files into one single file or folder
colorist toolbox	da Vinci 2K Plus option that adds 4 channels of matte defocus, 2 channels of color enhancement, textures and effects filters such as emboss and blur
chaco culture	Chaco culture was one of three three great ancestral pueblo cultures and regional powers of the American southwest in the late prehistoric times
demonology	the study of demons
half-life	A measure of the rate of decay in radioactive materials; half the radioactive material will disappear within the period of one half-life.
copy editor	Person who checks and corrects a manuscript for spelling, grammar, punctuation, inconsistencies, inaccuracies, and conformity to style requirements
orphan	In type, a single line of type sitting alone at the bottom of a page; usually the first line of a new paragraph that continues in the next column or page
solar wind	The outward flow of solar particles and magnetic fields from the Sun
abort	A computing command that instructs the system to abandon a program or ignore all data transferred after a given point.
gradual commencement	The commencement of a geomagnetic storm that has no well-defined onset.
pipestone	Any of a variety of heat-hardened, compacted clays that can be carved and polished.
refresh rate	The time it takes the camera to capture the image after you press the shutter release.
baseline shift	A software command that allows you to raise or lower the baseline of designated text characters.
greeking	a software device where areas of grey are used to simulate lines of text
reflective copy	Copy that is not transparent.
functionalism	a philosophy of design (in architecture, for example) holding that form should be consistent with material, structure, and use.
sabattier effect	See Solarization
color	Software color correction system, designed by Silicon Color and now owned by Apple and included as part of Final Cut Studio.
small-format camera	Camera making negatives 35mm or smaller.
inter-negative	Color Negative made from an Inter-positive, from which the Release Prints are made
fully saturated	Photographer term for rich color.
dummy	An example of what the final product may look like
jasper	A high-quality flint, often highly colored; often used as a raw material for the manufacture of stone tools, beads, and other ornaments.
cat	Computer-assisted translation.
flat	The assembled composite of negatives or positives ready for platemaking
isdn	Integrated Services Digital Network is a set of digital telecommunications standards that transmit voice, video, and data over standard phone lines
rss feed	Really Simple Syndication or Rich Site Summary as it is also known is an XML format for syndicating Web content
quatrefoil	A pattern used in masonry and wood, similar to the shape of a four-leafed clover, comprising of four curves joined together
gallery	the second story of a church, placed over the side aisles and below the clerestory.
event	A continuous sequence of frames with a programmed grading that makes up a part of a grading list, or Event List
neoplatonism	sought to reconcile humanism w/ christianity; plato w/ church; art rationalizes secular work
apiology	the study of bees (apiaries)
career planning	See career management.
folk music	usually music of unknown origin, transmitted orally and enjoyed by the general population
cinemascope	Trade name of a system of anamorphic widescreen presentation
mitochondrial dna	Genetic material in the mitochondria of human cells that mutates at a relatively constant rate
context analysis	An analysis of the environment in which an organization operates
suite	collection of stylized dance pieces for keyboard; or an orchestral piece sonsisting of selections from a dramatic work or dance
configuration management plan	A project document that describes the configuration management methodology, tools, techniques, roles and responsibilities, and tasks that will be used to implement configuration management (CM) for the project
tradition	persistent technological or cultural patterns identified by characteristic or diagnostic artifact forms.
modem	Device for transmitting digital data over analog telephone lines.
frames	A frame is when a browser window is divided into multiple parts called frames
rubylith	Ulano trade name for red masking film.
embrasures	Openings for cannons at the top of a castle wall
close up	A mark used to indicate closing space between characters or words
gamelan	Indonesian percussion ensemble
paper plate	A printing plate made of strong and durable paper in the short run offset arena (cost effective with short runs).
hairline rule	the thinnest rule that can be printed.
cognitive archaeology	Cognitive archaeology is a theoretical underpinning of archaeological research that is interested in the material expression of human cognitive concepts.
affinity card	A co-branded credit card linked to a special consumer interest e.g
osteology	the study of bones
rib	an arched diagonal element in a vault system that defines and supports a ribbed vault.
animal sized	A technique of paper making which hardens the surface by passing the paper through a bath of animal glue or gelatin.
kerning	the adjustment of spacing between certain letter pairs, A and V for example, to obtain a more pleasing appearance
access time	The interval between the instant at which a call for data is initiated and delivery of the data is completed.
point	1
hickies	Imperfections in presswork due to dirt on press, trapping errors, etc.
crypt	A vaulted chamber made to house graves and relics, generally located beneath the chancel
raid	Redundant Array of Independent Disks
bifacial	A flaked stone tool on which both faces or sides are retouched to make a thinner tool.
skylight	A window set into a roof slope.
gray levels	Number of distinct gray tones that can be reproduced by a computer.
form	The assembly of pages for printing, sometimes refers to one side of a signature
book paper	Types of paper usually used for printing books
make-up	the assembling of all elements, to form the printed image.
chantuto phase	The Chantuto phase is the name given to Archaic period occupation of the coastal tidewaters along the southwest Mexico, dated roughly between 4000-1500 BC.
spread	Two opposing pages designed as one visual
enrollment / re-enrollment	Becoming an âactiveâ member in a loyalty program
blistering	Although seemingly dry, paper does contain approximately 5% moisture
cls and c2s	Abbreviations for coated one side and coated two sides.
quincunx	an arrangement of five objects, usually trees, with one at each corner of a rectangle and one at the center; this basic structural unit is often multiplied to create a larger pattern, and plantations of trees in this pattern may be identified by the same term.
underwater parks	Those are sites that are made into underwater museums with on-site signs for visiting underwater tourists
self-mailer	Printed piece designed to be mailed without an envelope.
continuous tone	Image made of non-discernable picture elements which give appearance of continuous spectrum of grey values or tones.
sdk	Software Development Kit
conciliation	Steps a third party takes to reduce adversity and tension between conflict groups, to create an environment where face-to-face negotiation is possible.
back lining	The fixing of a material, either paper or cloth, to the back of a book before it is bound.
dmax	The point of maximum density in an image or original.
anti-offset powder	Fine powder lightly sprayed over the printed surface of coated paper as sheets leave a press
campaign	A term given to a coordinated series of activities in advertising, promotions or sales.
hutch	Enclose structure, often raised on uprights, or an enclosed structure of more than one tier.
infeed	(1) The section of a sheetfed press where the sheet is transferred from the registering devices of the feedboard to the first impression cylinder
sequence	melodic phrase repeated at different levels of pitch
keykode	A barcode on the edge of motion picture film which allows the film edge numbers to be electronically read and inserted into an edit list
base memory	User programmable base settings for different film and video formats
geobiology	the study of the biosphere and its relations to the lithosphere and atmosphere.
exposed	A light-sensitive material that has received exposure to an image
abhaya	see mudrā.
ledger paper	A stiff heavy business paper generally used for keeping records.
reflective copy	Products, such as fabrics, illustrations and photographic prints, viewed by light reflected from them, as compared to transparent copy
cpc	Cost per clickthrough.
chernyakhov	Chernyakhov is the name given to a Slavic village and cemetery in the Lower Danube region of Ukraine, dated to the 4th century AD.
misregister	A condition occurring when the form being printed is misaligned either to another color on the same flat or to the cut-off.
jacket	Or dust jacket
interface	(1)The electronic device that enables one kind of equipment to communicate with or control another
painterly	An adjective used to describe a style of painting which is based not on linear or outline drawing, but rather patches or areas of color
block in	To sketch the primary areas and points of reference of an illustration in preparation for going to final design or production.
embossed	A method of paper finishing whereby a pattern is raised above the paper when it is dry.
corrosion	Except for gold, metals corrode in sea water
dry mount	The process of adhering paper to sturdy materials (foamcore, gatorboard, sintra) using heat sensitive adhesives.
tessera	a small piece of colored glass, marble, or stone used in a mosaic.
consonance	passive sound that seems to be at rest
cultural sensitivity	Creativity, empathy, and flexibility informed by cultural knowledge.
cover paper	Category of thick paper used for products such as posters, menus, folders and covers of paperback books.
postpress	The final stages in the printing process in which printed sheets are transformed into saleable products, including binding, finishing and delivery.
cotton content paper	Paper made from cotton fibers rather than wood pulp.
reprographics	General term for xerography, diazo and other methods of copying used by designers, engineers, architects or for general office use.
dst index	A measure of variation in the geomagnetic field due to the equatorial ring current
magnetite	A black iron oxide that can be polished to a lustrous surface.
personalization	The use of names, addresses, and other personal information on direct mail piece specific to the recipient.
c1s or c2s	Paper which is coated on one side (C1S) or coated on both sides (C2S).
chipboard	Solid (not corrugated) cardboard.
photosphere	The lowest visible layer of the solar atmosphere; corresponds to the solar surface viewed in white light
web press	The name of a type of presses that print from rolls of paper.
optical centre	a point above the true centre of the page which will not appear 'low' as the geometric centre does.
third stream	combination of jazz and concert music
d16	QuantelÂ® format for storing high resolution âDominoâ images, on a standard D1 cassette tape
resolution	the measurement used in typesetting to express quality of output
balk	A side wall of an excavated unit (square) or a partition of earth left standing between adjoining excavation units
diffusing	Softening detail in an image.
vertical interval	Indicates the vertical blanking period between each video field
graphic arts film	Film whose emulsion responds to light on an all-or-nothing principle to yield high contrast images.
single autofocus	The camera lens focused only when the shutter release button is partially depressed, just prior to taking the picture
petroglyphs	Carvings in rock which express artistic or religious meaning.
vignette	Fade to white or small decorative design or illustration
em	A unit of measurement equaling 12 points or 4.5mm.
breviary	Book containing the Divine Office of the Roman Catholic Church.
nt	nanotesla = 10-9 Tesla
voc	Abbreviation for volatile organic compounds, petroleum substances used as the vehicles for many printing inks.
crash	Coarse cloth embedded in the glue along the spine of a book to increase strength of binding.
diagnostic artifact	an item that is indicative of a particular time period and/or cultural group.
current assets	Cash and other assets that are expected to be (or could be) converted into cash or used up in the near future, usually within a year; for example, accounts receivable and finished goods inventory
nest	To place a piece inside a part or all of another piece such as a card with directions inside an invitation.
primatology	the study of primates
retouch	To edit an image, most often to remove flaws or to create a new effect.
milankovitch forcing	A term describing the phenomenon considered to be the prime reason for glacial fluctuations and climatic change
net-sinker	A small weight attached to fishing nets.
fan fold	Paper folding that emulates an accordion or fan, the folds being alternating and parallel.
typology	classification of types; the process of setting up and selecting categories to organize and analyze data.
chromatic aberration	An image defect, often seen as green or purple fringing around the edges of an object, caused by a lens failing to focus all colors of a light source at the same point.
transverse	Component of magnetic field vector perpendicular to the direction of view and parallel to the solar surface at disk center.
cottage furniture	A term used in the Victorian period for mass produced simlified forms, frequently painted with decorative designs; often ornamented with spool turnings.
word break	the division of a word at the end of a line.
leg	A column of text.
burzahom	The site of Burzahom is a Neolithic settlement and cemetery in the Kashmir state of India, occupied between about 3000-1500 BC.
folder	a www.printinghouse.ie term that outlines a folded printed material on heavy paper which has pre-printed flaps that folded form a pocket to hold various documents
impression	Reference to the paper passing through one color printing unit
vcr	âVideo Cassette Recorderâ
ideogram	A pictorial symbol used to express a concept or idea
foils	Papers with a surface resembling metal.
output	Processed optical or electronic data transferred to another device such as a secondary storage unit, a laser printer, an electronic manipulation station, or an analog or digital proofing device.
back up	In printing, to print the second side of a sheet already printed on one side
run-around	A term given to copy that accommodates the lines of a picture or other image or copy.
mandapa	a northern-style Hindu temple's assembly hall.
deduplicating	Deduplicating (or Deduping) is a preocess which identifies duplicate records by name and/or address in a mailing list and removes them if desired
transparency	Positive photographic image, usually in color, on film allowing light to pass through.
rgb	Represents the colored lights - Red, Green and Blue - used to create color on your computer monitor or television screen
cutter	Machine for accurately cutting stacks of paper to desired dimensions; can also be used to crease
oblong	A booklet or catalog bound along the shorter dimension.
conflict	An interaction between people with differing, seemingly incompatible interests.
relief printing	Printing method whose image carriers are surfaces with two levels having inked areas higher than non-inked areas
ostinato	persistently repeated melodic or rhythmic pattern
galley slave	Old term for compositor.
segment mobility	The ability to move customers within one performance category into another, more profitable category.
kinesiology	the study of movement in relation to human anatomy; a branch of medicine
kerning	Narrowing of space between two letters in order to create more space on the page.
anasazi	One of three major cultural traditions of the American Southwest during late prehistoric times
monastery	a religious establishment housing a community of people living in accordance with religious vows.
diploma	A fine type of paper made specifically for the printing of diplomas, certificates and documents.
substorm	A geomagnetic perturbation lasting 1 to 2 hours, which tends to occur during local post-midnight nighttime
central hall	A frame house consisting of two rooms and an enclosed central hall
courseware	Educational software that delivers course material on a computer.
banker's flap envelope	A flap where the edges are more rounded; also called a wallet flap.
loupe	Lens built into a small stand
cultural adaptation	The process of adjusting a translation based on the cultural environment of the target language.
elements of music	basic materials of which music is composed: rhythm, melody, harmony, and timbre
beguinage	A community of lay women living a life of poverty and chastity without living under a monastic rule or taking irrevocable vows.
aesthetic	the theory and vocabulary of an individual artistic style.
passion	oratorio based on the events leading to the crucifixion of Christ
spine	Back edge of a book.
sample	a recorded sound stored digitally and thus subject to manipulations indeterminate, aleatoric, random, or chance music
page	One side of a leaf in a newsletter
list management	Versatile control of a system by means of a list or lists of events each of which triggers changes.
flash	A technology owned by Adobe and used to create very compressed slide shows and movies for Web display.
paleoethnobotany	The study of plant remains from archaeological sites.
karyology	the study of karyotypes (a branch of cytology)
cut sizes	Paper sizes used with office machines and small presses.
cosmetology	the study of cosmetics and their use
balustrade	A series of short vertical posts, often ornamental, used to support a rail at a stairway, porch or roof.
wipe on plate	A plate on which is wiped a light sensitive coating by a coating device; usually the first step in this type of platemaking.
spectral power distribution	The relationship of energy to frequency across the visible spectrum for a light source
liturgy	The prescribed worship rituals of the church, including the mass and divine office.
vestry	Room in a church where the clergy and choir dress and the vestments are kept.
vialta	Telecine made by Sony
