retainer	Act of a client in hiring an attorney
stay	Court order halting a judicial proceeding or the action of halting such proceeding.
reinstated bail	Bail previously forfeited, exonerated, or reduced that is now reestablished in its original amount.
community property	Property acquired by a couple during their marriage
custodian	Under the Uniform Transfers to Minors Act, the person appointed to manage and dispense funds for a child without constricting court supervision and accounting requirements.
adjudication	Judgment rendered by the court after a determination of the issues.
vacated	To make void or set aside.
libel	False and malicious written, printed, or published material that is defamatory and injures the reputation of an individual
vacate	To set aside
contract	An agreement between two or more persons that creates, changes, or eliminates a legal relationship.
sentencing report	See pre-sentencing report.
penalty	Punishment for violating a law.
community service	A special condition the court imposes that requires an individual to work - without pay - for a civic or nonprofit organization.
supervised release	 Term of supervision served after a person is released from prison
enjoin	To require a person, via an injunction, to perform or to abstain from performing some specific act.
adoption	The judicial act creating the legal parental relationship when no genetic linkage exists.
statute	A law adopted by the legislature.
reverse	 The act of a court setting aside the decision of a lower court
malfeasance	Evil doing; ill conduct; the commission of some act that is positively prohibited by law.
trust fund	Money, stocks, bonds or securities held by or under the control of someone for the use and benefit of another
neurobiology	The specific area of biology that studies the nervous system (which includes the nerves, spinal cord and brain).
citation	Reference to source of legal authority
confession	A statement by an individual, either oral or written, admitting that he or she committed a certain offense
exercise	To utilize or make use of
extortion	Forcing a person to give up property in a thin through the use of violence, fear or under pretense of authority.
escheat	The process by which a deceased person's property goes to the state if no heir can be found.
in loco parentis	In place of the parent
substance abuse treatment	 A special condition the court imposes that requires an individual to undergo testing and treatment for abuse of illegal drugs, prescription drugs, or alcohol
urine test	Chemical analysis of a urine specimen to determine content of alcohol or some other drug.
bar	1
c.r.j.d.	Abbreviation for "Colorado Rules of Judicial Discipline".
eminent domain	Power of the government to take private property for public use, after paying the owner reasonable compensation
parole	Release of a convicted offender from imprisonment, but not from legal custody and supervision by the corrections system
breach of contract	The failure to do what one promised to do under a contract
green card	An immigrant visa
contra bonos mores	Contrary to good morals
minor	An individual under the age of 18 (eighteen) years.
wage execution	The act of taking a person's wages to satisfy a judgment
lessor	A landlord; one who grants the lease.
adversary process	the method courts use to resolve disputes
non constat	It is not certain
tort	An injury or damage to person/or property for which the person who caused the injury is legally responsible. 
attorney-in-fact	Private person, not necessarily an attorney, authorized by another to act in his place and stead, either for a particular purpose or for transaction of business in general that is not of legal character
occupational therapist	The person who will work with you to develop your skills and confidence in everyday life - including work, social and leisure activities and personal care.
amended vs. amendment	In general civil, an amended document replaces the prior document
land installment contract	An agreement in which the buyer agrees to buy a dwelling that he will occupy or a lot which will be used for residential purposes, the purchase price will be paid in five or more installments in addition to the down payment, and the seller retains title to the property as security for the buyer's obligation.
sunshine laws	Laws forbidding or restricting closed meetings of government bodies and providing for public access to records.
mens rea	The "guilty mind" necessary to establish criminal responsibility.
emergency department	The part of a hospital for anyone who has a serious injury or who needs emergency treatment
publici juris	Of public right
rescind	To annul, cancel, terminate a contract, including a lease, and to restore the parties to the position they would occupy if no contract had been made.
acknowledgment	The act of declaring, testifying, or certifying that something is genuine
actus reus	A guilty deed or act
administrator	One who administers estate of person who dies without a will
lien	A claim by a party on the property of another for payment of a debt or obligation
reset	To calendar or set again.
concurrent sentences	Sentences served at the same time: e.g., concurrent sentences of 10 years and 5 years equal a total of 10 years served
divorce	Includes dissolution of marriage, and "annulment" includes a declaration of invalidity, as such terms are used in the "Uniform Dissolution of Marriage Act in article 10 of title 14 C.R.S.
ad infinitum	For ever, without limit, To infinity
protective proceedings	A proceeding to determine that a person cannot effectively manage or apply his estate to necessary ends, either because he lacks the ability or is otherwise inconvenienced, or because he is a minor, and to secure administration of his estate by a conservator or other appropriate relief.
case file	A complete collection of every document filed in court in a case.
house arrest	An alternative to incarceration in county jail that can be imposed either as a condition of pretrial release or as a condition of probation
real property	Land, buildings, and other improvements affixed to the land.
remedy	Legal or judicial means by which a right or privilege is enforced or the violation of a right or privilege is prevented, redressed, or compensated.
securities fraud	A stockbroker, financial advisor, corporation, or investor may commit securities fraud by:
chapter 9	The chapter of the Bankruptcy Code providing for reorganization of municipalities (which includes cities and towns, as well as villages, counties, taxing districts, municipal utilities, and school districts).
collateral	Property that is promised as security for the satisfaction of a debt.
dyc	Abbreviation for "Department of Youth Corrections"
revenue	Income.
bequeath	To give someone a gift through a will.
confession	A statement by a person, either oral or written, admitting that he or she committed a certain offense
usury	Charging a higher interest rate or higher fees than the law allows.
integrated bar	State bar association to which a lawyer must belong in order to practice in that state.
incarcerate	To confine in jail.
writ of mandamus	 A type of writ; a court order instructing an inferior court, a corporation or a person to perform some duty specified in the order.  Example: a writ of mandamus by an appeals court compelling a lower court to hear a motion.
genetics	All cells contain substances (including DNA, chromosomes, and genes) that shape a person's identity and can be passed on to other cells
personal property	Tangible physical property (such as cars, clothing, furniture and jewelry) and intangible personal property
bench warrant	A court order which directs that an accused person who has been released before trial and fails to return when ordered to do so be brought to court.
inter alia	Amongst other things
enjoin	To order a person to perform, or to abstain and desist from performing a specified act or course of conduct.
robbery	Felonious taking of another's property in that person's presence by force or fear
nuisance	Offensive, annoying, unpleasant or obnoxious thing or practice that interferes with use or enjoyment of a property.
commutation	Change of punishment from a greater to a lesser degree or ending a sentence that has been partially served.
autism spectrum disorder	Autism spectrum disorder (ASD) is a behaviourally defined syndrome characterised by communication impairments, social interaction problems and unusual interest patterns and/or stereotyped behaviour
self harm	Self harm is when somebody damages or injures their body on purpose
controlled dangerous substance	any substance whose possession and use have been regulated by the legislature.
juvenile	Any person under the age of 18
term	Definition
agent	A person who has received the power to act on behalf of another, bind that other person as if he or she were themselves making the decisions.
care plan	A plan for your care over the next few weeks or months
real property	Land, anything growing on the land and anything erected on or attached to the land
plea	Five pleas possible in criminal cases: (1) not guilty; (2) not guilty by reason of insanity; (3) not guilty because of impaired mental condition; (4) no contest; and (5) guilty.
personality disorder	Personality disorders are a range of conditions that affect a person's thoughts, emotions and behaviour
self defense	Claim that an act otherwise criminal was legally justifiable because it was necessary to protect a person or property from the threat or action of another.
prejudicial error	Similar to reversible error
contract	A written or verbal agreement for the exchange of goods or services between at least two parties.
juvenile	A child under 18 years of age.
right of survivorship	In a joint-tenancy, the property automatically goes to the co-owners if one of the co-owners dies
bad faith	Intent to deceive
annotation	This refers to published comment on the law
search warrant	An order that authorizes law enforcement to conduct a search and specifies the scope of the search
delete	To omit, leave out, or remove.
exculpatory clause	Provision or clause which excuses someone from responsibility
pro hac vice	For this occasion
guardian	A person appointed by will or by law to assume responsibility for incompetent adults or minor children
replevin	An action to recover goods wrongfully taken or withheld.
fraud	An intentional deception that financially injures another person(s) in any way.
c.a.r.	Abbreviation for "Colorado Appellate Rules".
parole revocation hearing	Normally a two-step process
et ux	The Latin phrase for "and wife."
modification	(a change or alteration)
xylon	- A punishment among the Greeks answering to stocks.
separation	The living apart of a married couple.
verification	An oral or written statement that something is true, usually sworn to under oath.
appeal	1
commitment order	A court order directing that a person be kept in custody, usually in a penal or mental institution.
duress	Where a person is prevented from acting (or not acting) according to their free will, by threats or force of another, it is said to be "Under duress"
claim	An allegation or request for monetary or other relief.
corporation	This is one of the ways that a business can be organized
exhibit	an item of physical evidence (a document or an object).
guardian	A person who has qualified as a guardian of a minor or incapacitated person pursuant to testamentary or court appointment, but excludes one who is merely a guardian ad litem.
trespass	A wrongful entry, whether with force or peacefully, onto the property of another.
probate court	Court with authority to supervise estate administration.
bond	1
statute	a law passed by a legislature
general practitioner	Your local doctor - or family doctor - who will usually be the first person you see if you have a physical illness or emotional problem
statute of limitations	Law establishing time within which a legal action must be initiated
affinity	Related by marriage; family relation from one's spouse's family.
municipal courts	Courts confined to the city or community in which they re established.
ordinance	The enactments of the legislative body of a local government.
appearance	The act of showing up in court, it implies you accept the power of the court to try the matter (jurisdiction)
yeven	- Given; dated
parole	The conditional release of a convicted offender from a jail or prison before the end of his sentence based upon requirements for the offender's behavior set and supervised by a parole agency.
objection to exemptions	A trustee's or creditor's objection to the debtor's attempt to claim certain property as exempt from liquidation by the trustee to creditors.
crimes code	Short title for Title 18 of Purdon's Pennsylvania Statutes, "Crimes and Offenses."
unjust taking	When the government acquires private property and fails to compensate an owner fairly
care pathway	A standard way of giving care or treatment to someone with a particular diagnosis.
no fault	Fault on the part of either party need not be shown or proved.
miranda rule	Requirement that police advise a suspect in custody of constitutional rights before questioning him/her
adjudicatory hearing	This is a trial to determine whether or not you are guilty.
stipulate	to enter into a binding agreement on an issue that is not genuinely in dispute
arson	The intentional and malicious starting of a fire
parent	Any person entitled to take, or who would be entitled to take if the child died without a will, as a parent under the probate code by intestate succession from the child whose relationship is in question and excludes any person who is only a stepparent, foster parent or grandparent.
personal service	For service on a natural person, the service must be on the named defendant
recognizance	See personal recognizance.
mittimus	Latin meaning, "we send"
blue sky laws	State statutes regulating sale of securities.
district court	In the federal court system, the trial court where federal criminal and civil cases are heard
fee	A fixed monetary charge for service rendered.
failure to appear	A criminal charge that is issued for a defendant who does not come to court as required.
breach of trust	Any act or omission on the part of the trustee, which is inconsistent with the terms of the trust agreement; or the law of trusts
exempt property	Certain property protected by law from creditors.
grantor	Person who sets up a trust
dissolution of marriage	Divorce
by-laws	A corporation's rules and regulations
assets	Property of all kinds, including real and personal, tangible and intangible.
execute	To complete the legal requirements (such as signing before witnesses) that make a will valid
split sentence	A sentence imposing a fine and imprisonment with the imprisonment part suspended or imposing a period of imprisonment, part of which is suspended and a period of probation is imposed.
abstract of title	Concise chronological history of all official records and recorded documents affecting title to a parcel of land.
psychologist	Someone who has done a psychology degree, then further training in helping people with emotional or psychological problems.Â  Psychologists can offer you therapy which involves talking about your difficulties and working together to overcome them
testate	One who has died leaving a will, or one who has made a will.
volens	Willing
offense	An act that violates the law
summary offense	In Pennsylvania a violation of law punishable by imprisonment for up to 90 days and/or a fine not exceeding $300.
mini-trial	A structured settlement process in which the principals involved meet at a hearing before a neutral advisor to present the merits of each side of the dispute, and attempt to formulate a voluntary settlement.
exigent circumstances	Emergency conditions.
ore tenus motion	An oral motion before the court.
ex parte proceeding	One in which only one side is represented
guardianship	The office, duty, or authority of a guardian.
not guilty plea	A formal response by a person accused of committing a specific crime in which he/she says that the charges are untrue.
health care assistants	A member of hospital staff who helps qualified nursing staff to care for patients on the ward.
arrest warrant	A written court order that authorizes law enforcement to arrest an individual
resisting arrest	Resisting arrest is the common term for the offense of resisting, obstructing, or delaying an officer in the lawful execution of his duties
bail	The release of arrested or imprisoned persons when security, cash, or property is given or pledged to ensure their appearance at a specified date and place
c.r.t.i.	Abbreviation for "Colorado Rules for Traffic Infractions".
ante	Before
caselaw	Collection of reported cases that form the body of law within a jurisdiction
reset	To re-calendar or set again.
health and safety code	The collection of laws in California regulating the health and safety of the population, including most of the drug laws criminalizing the possession and distribution of controlled substances
equity	Generally, justice or fairness
registrar	The official of the court designated to perform the functions as provided in and designated by the court by a written order filed and recorded in the office of the court of court and specified by the probate code.
penalty assessment	A sum of money added to a fine to offset the costs of some mandated public programs.
service	Delivery of legal papers to a person named in them and required to answer them
uifsa	An abbreviation of "Uniform Interstate Family Support Act".
jury	A certain number of men and women, selected according to law, and sworn to consider and decide matters of fact presented to them.   
will	Legal document that sets forth how an individual wants his/her property disposed of when he/she dies.
et al	All others.
venue	1
protection order	Non-criminal order obtained by abused spouse against abusive spouse.
privilege	A person's right not to testify on a matter or communication protected by law.
power of attorney	Document authorizing one to act legally for another.
violation	A breach of a right, duty, or law.
creditor	A person (or institution) to whom money is owed.
misfeasance	Improper performance of an act that might have been lawfully done
parole	The period after release from state prison during which a former prisoner is subject to certain restrictions and is monitored by state law enforcement officers
testate	A person who has made a will or who has died leaving a valid will; opposite of intestate.
c.r.c.c.p.	Abbreviation for " Colorado Rules of County Civil Procedure".
perjury	The act or an instance of a person deliberately making material false or misleading statements while under oath.
jurist	One who is skilled or versed in the law.
jury instructions	A judge's directions to the jury before it begins deliberations regarding the factual questions it must answer and the legal rules that it must apply.
appearance	1
fiduciary	A person who acts as a trustee or primarily for another person's benefit
license revocation	An order issued by the Department of Motor Vehicles invalidating a person's driver's license and prohibiting him or her from driving for any purpose
bequests	Gifts made in a will.
trust	Property given to a trustee to manage for the benefit of a third person
assertive outreach team	A team which will see a person more often than usual
examination of the return	See Audit.
continued	Postponed.
alzheimer's disease	Alzheimer's disease is the most common form of dementia, which describes the loss of mental abilities, such as memory and reasoning.
retirement	A type of dismissal of a criminal charge; can be reactivated under certain circumstances.
contract	An agreement between two or more people that creates an obligation to do or not to do a particular thing.
exclusionary rule	A rule prohibiting the use of illegally obtained evidence in criminal prosecutions
supersedeas	The name of a writ containing a command to stay the proceedings at law.
affirm	To uphold a decision made by a lower court.
parenting time	Previously known as "visitation"
citation	An order to appear in court at a certain place at a specified time
homicide	The killing of one human being by the act, procurement, or omission of another
embezzlement	A form of theft which consists of the fraudulent appropriation of property by a person, such as an employee, to whom it has been entrusted
common law marriage	A common law marriage comes about when a man and woman who are free to marry agree to live together as husband and wife without the formal ceremony
right to remain silent	see privilege against self-incrimination.
prothonotary	Chief clerk of any of various courts in some states, including those of Pennsylvania.
quash	To make void; to vacate: to annul; to set aside.
residuary estate	Also known as residue of the estate
caveator	One who files a caveat.
motion	Oral or written request before, during, or after a trial on which a court issues a ruling or order.
evidence	All the means by which a matter of fact, the truth of which is submitted for investigation, is established or disproved.
deem	To consider or be of an opinion: e.g., to deem it necessary.
living will	Also known as a medical directive or advance directive
incriminate	To hold another or oneself responsible for criminal misconduct.
probate estate	Estate property that may be disposed of by a will.
minor	A person under the age of 18 years
disposable income	Income not reasonably necessary for the maintenance or support of the debtor or dependents
penal	Of, relating to or involving punishment or penalties.
escrow	The placing of money, a deed, or real property in the hands of a third party to be held until the performance of a condition.
good faith	Honestly and without deception
endorse	To sign one's name on a document to authorize its content or transfer.
adjournment	Postponing or rescheduling a case or court session until another date or time
augmented estate	An estate reduced by funeral and administration expenses, homestead allowance, family allowances, exemptions, and enforceable claims to which is added value of property transferred to anyone other than bona fide purchaser and value of property owned by surviving spouse at decedent’s death.
interpleader	When two or more persons claim the same thing on a third party
versus	Lat
de facto	Latin, meaning "in fact" or "actually." Something that exists in fact but not as a matter of law.
infractions	Sometimes called violations
nuncupative will	An oral (unwritten) will.
in esse	In existence
murder	The unlawful killing of a human being by another with malice aforethought, either expressed or implied
costs	An award of money for expenses in a civil suit.
trust fund	Money, stocks, bonds, or securities held by or under the control of someone for the use and benefit of another.
self-defense	Use of force to protect one's self, family or property from harm or threatened harm by another.
security agreement	A contract between a lender and borrower that states that the lender can repossess the property a person has offered as collateral if the loan is not paid as agreed.
lien	Legal claim against another person's property as security for a debt, lasting until the debt has been paid.
breath test	A chemical analysis of one's breath to determine the percentage of alcohol fumes.
bankruptcy	Insolvency; a process governed by federal law to help when people cannot or will not pay their debts.
booking	The process of photographing, fingerprinting and recording identifying data of a suspect
issue of law	An issue involving interpretation of law where the facts are not disputed and from which only one conclusion can be drawn
orse	Otherwise
clinician	A term which is used to describe someone who provides care and treatment to patients, such as a nurse, psychiatrist or psychologist.
retaining lien	Gives a lawyer the right to hold on to your money or property (such as a deed) until you pay the bill.
secured debt	Debt in which debtor gives creditor a right to repossess property or goods (called collateral) if debtor defaults on the loan.
punitive damages	Money awarded as punishment for outrageous conduct and to deter future transgressions
cite	To summon or command ones presence
aggressive behaviour	Refers to physical aggression towards another person.
precept	Writ issued by person of authority commanding a subordinate official to perform an act.
audit	An official examination of records or accounts to check their accuracy and completeness.
trustee	Person or institution that oversees and manages a trust.
kidnapping	Unlawfully taking and carrying away a person by force and against his/her will.
opinion evidence	Evidence of what a witness thinks, believes, or infers as distinguished from personal knowledge of the facts
acknowledgment	Short declaration at end of a legal paper showing paper was duly executed and acknowledged.
common law marriage	In some states, a couple is considered married if they meet certain requirements, such as living together as husband and wife for a specific length of time
dba	Abbreviation for "doing business as"
bar examination	A state examination taken by prospective lawyers in order to be admitted and licensed to practice law.
infringement	Unauthorized use, typically of a patent or copyright.
confidentiality	The state or quality of being confidential; treated as private and not for publication.
liable	Legally responsible for.
provider	An organisation which provides health and/or social care services to local people.
pro se	Legal representation of oneself.
sealed record	A record closed by a court to further inspection by anyone unless ordered by the court
caveat emptor	Latin for "buyer beware." This rule generally applies to all sales between individuals
acute care	Short term treatment for diseases or illnesses that start quickly and have painful or distressing symptoms
xenodochium	- In the civil and old English law, an inn allowed by public license, for the entertainment of strangers, and other guests
substance abuse treatment	A special condition the court imposes that requires an individual to undergo testing and treatment for abuse of illegal drugs, prescription drugs, or alcohol
rule of court	Rules governing how a given court operates.
venue	Formerly spelled
homicide	Killing of one human being by another.
waiver	To give up a legal right voluntarily, intentionally, and with full knowledge of the consequences.
writ of habeas corpus	Orders the release of someone who has been unlawfully imprisoned.
inpatient	Someone who stays in hospital to receive care and treatment.
adr	Abbreviation for Alternative Dispute Resolution
cognitive analytic therapy	A 'talking therapy' which helps you to see how early relationships and experiences have affected how you see yourself, other people and how you behave
bankruptcy code	The informal name for title 11 of the United States Code (11 U.S.C
failure to appear	Not appearing in court when ordered to do so
in camera	In chambers, or in private
transfer	Any mode or means by which a debtor disposes of or parts with his/her property.
option	The right to make a choice; a purchased privilege which gives the holder the power to make the agreement.
revocable living trust	A trust created during the maker's lifetime that can be changed
self-defense	The protection of one's person or property against some injury attempted by another
psychoanalytic/psychodynamic therapy	A 'talking treatment' which looks at how your past relationships might be affecting how you currently feel, think and behave
authenticated	Means certified, when used in reference to copies of official documents, and only certification by the official having custody is required.
recuse	To excuse (oneself) or be excused from a criminal or civil proceeding because of conflict of interest
presentment	Declaration or document issued by grand jury on its own initiative, making accusation
pardon	An official release from responsibility and consequences for a crime, usually granted by the chief executive of a government.
ward	A person for who a guardian has been appointed
chapter 13 bankruptcy	A type of bankruptcy in which a person keeps his assets and pays creditors according to an approved plan.
vacate	To nullify, render void.
in forms pauperis	Frequently used by inmates filing papers to seek waiver of prepayment of filing fees in State courts.
marital property	The property, however titled, acquired by one or both parties during the marriage
exculpate	To free from blame or accusation, particularly in matters of small importance.  Compare exonerate.
battered child syndrome	Medical and psychological condition of a child who has suffered continuing injuries not inflicted accidentally and thus are presumed to have been inflicted by someone close to the child.
equitable	To deal fairly and equally with all concerned
amend	To add to or alter a charge that has been filed.
alternative dispute resolution	Methods for resolving problems without going to court
in futoro	In the future
mortgage	any conveyance, agreement or arrangement in which the property is used as security.
blood test	A test to measure a person’s BAC by drawing the blood, usually done in a hospital
consultant psychiatrist	The medical doctor with specialist experience and qualifications in mental illness and emotional disorders that has overall responsibility for your care
revenue	Income to a public entity to offset the cost of providing service.
administrator	An individual appointed by the court to manage the estate of a person who died without leaving a valid will.
minor	A person who does not have the legal rights of an adult
alleged	Claimed; asserted; charged.
commutation	The act of reducing a sentence
relief	See remedy.
care programme approach	This is for anyone who needs to see several people or organisations for their care or treatment
r.t.v.b.	Abbreviation for "Colorado Rules for County Court Violations Bureau."
copyright	A person's right to prevent others from copying works that he or she has written, authored or otherwise created.
alibi	At another place, Elsewhere
discretion	Power to exercise judgment, establish policy within general rules and principles of law
arrest of judgment	Act of delaying the effect of a judgment already entered.
letters	Includes: 1
habeas corpus - federal	Proceeding where a prisoner challenges the lawfulness of his imprisonment
service	Providing a copy of the papers being filed to the other side.
memorial	Abstract of a legal record
booking	Also known as "booked"
biomedical	Relating to biomedicine, the branch of medical science that applies biological principles to clinical practice.
partnership	This is one of the ways that a business can be organized
early intervention	A way of picking up the early signs of a serious mental illness
writ of habeas corpus	a document filed as a means of testing the legality of a restraint on a person's liberty, usually imprisonment
perjury	Deliberately making a false or misleading statement under oath.
escrow	Money or documents, (e.g., a deed), which are held ("in escrow") by a neutral third party until all conditions of an agreement are met.
united states code	The statutes setting forth federal law
assault	The touching of another person with an intent to harm, without that person’s consent
quitclaim deed	A deed that transfers the owner's interest to a buyer but does not guarantee that there are no other claims against the property.
jury commissioner	The local official responsible for providing lists of qualified prospective jurors to the court.
privilege against self-incrimination	a person's right to remain silent in the face of accusation or questioning by government agents
confession	A statement by an individual, either oral or written, admitting that he or she committed a certain offense (compare "admission").
district court	Lowest State trial court; a court of limited jurisdiction.
testator	The person who makes a will.
community service	Sentencing option whereby offender performs volunteer work for government, non-profit or community-based organizations.
family court	Court having jurisdiction over such family matters as child abuse and neglect, support, paternity and custody.
guardianship	Legal right given to a person to care for an individual or his/her property when that individual is deemed incapable of doing so for him/herself
testamentary capacity	Mental ability an individual must have to make a will.
code	Complete, systematic collection of laws.
undue	More than necessary; excessive.
personal recognizance	Promise of an accused person to the court that he will return to court when ordered to do so
backlog	A total inventory of cases that have not reached disposition within mandated timeframes.
order	a decision or direction made by a judicial authority
juris doctor	Doctor of Law
search warrant	a written court order authorizing a law enforcement officer to search certain premises for specified items and to seize the items described.
fine	A sum of money a person must pay as punishment because of an illegal act or omission.
pro tem	 Temporary.
codicil	A supplement to a will.
discharge	A release of a debtor from personal liability for certain dischargeable debts
basic research	Basic research aims to improve general scientific knowledge and understanding
encumbrance	A claim against property.
psychosis	Disorders involving distorted perceptions of reality - thinking, feeling, hearing and seeing - often with symptoms of hallucinations and delusions.
devisee	A person designated in a will to receive a devise
eviction	Action taken to legally dispossess a person of land or property.
caljic	California Jury Instructions, Criminal.
embezzlement	The fraudulent appropriation by a person to personal use or benefit of property or money entrusted by another.
slander	False and defamatory spoken words tending to harm another's reputation, business or means of livelihood
inter alia	Among other things.
breach	The breaking or violating of a duty that one owes to another person, as defined by law
libel	Published words or pictures that falsely and maliciously defame a person
c.r.j.p.	Abbreviation for "Colorado Rules of Juvenile Procedure".
overrule	Court's denial of a motion or objection raised to the court
kidnapping	The unlawful taking and carrying away of a human being by force and against his or her will.
locus in quo	Scene of the event
issue	Of a person means descendant as defined in intestate successions and wills.
electronic surveillance	Court-authorized interception by use of an electronic device of wire or oral communications; wiretapping; eavesdropping.
replevin	An action whereby the owner or person entitled to repossession of goods or chattels may recover those goods or chattels from one who has wrongfully distrained or taken or who wrongfully detains Replevin is designed to permit one having right to possession to recover from another who has either wrongfully taken or detained property
expunge	To physically erase, to white or strike out
tenancy by the entirety	See joint tenancy.
manslaughter	The unlawful killing of another without malice; may be either voluntary, upon sudden impulse, or involuntary.
kentucky rule	- In the allocation of dividends by trustees as between income and principal, all dividends whether paid in cash or stock are regarded as income though in most jurisdictions accepting this rule a dividend paid in the stock of the issuing corporation is considered principal and brings about an adjustment in the basis of such stock in the portfolio.
confessed judgment	An action seeking final judgment based upon a person agreeing, in advance, to the entry of judgment against them upon the occurrence or non-occurrence of an event, such as making a payment. 
cohabitation agreement	Also called a living-together contract
good time	A reduction in sentenced time in prison as a reward for good behavior
jurisdiction	The right and power to interpret and apply the law to a particular case
federal courts	courts established under the U.S
c.r.e.	Abbreviation for "Colorado Rules of Evidence"
home treatment	Home treatment is a way of helping people at home rather than in hospital
tort	A private or civil wrong, independent of contract; failure to perform some duty imposed by law or custom, resulting in injury to another.
doc	Abbreviation for "Department of Corrections".
legal age	Eighteen (18) years of age
vacate	to set aside.
indigent	Needy or impoverished
ada	A Federal law that prohibits discrimination against people with disabilities (Americans with Disabilities Act).
restitution	The requirement that an offender provide financial remuneration for the losses incurred by the victim
sanction	 A penalty or other type of enforcement used to bring about compliance with the law or with rules and regulations.
arbitration	The referral of a dispute to an impartial third person chosen by the parties to the dispute
sanction	Penalty for failure to comply with rule, order or law.
subrogate	To substitute one person in place of another with reference to a lawful claim.
lien	A claim that a person has upon the property of another as security for a debt owed.
parole	 The release of a prison inmate— granted by the U.S
certified copy	An official copy of a particular document from a case file that is notated as a true, complete, and authentic representation of the original document.
lapsed gift	Gift made in a will to a person who died before will-maker.
parole	the suspension of a convict's prison sentence and the convict's release from prison, at the discretion of an executive branch agency and conditioned on the convict's compliance with the terms of parole
criminal summons	Order commanding accused to appear in court
joint and several liability	Liability of more than one person for which each person may be sued for the entire amount of damages done by all
board of supervisors	Local governing body at the county level.
care co-ordinator	The person who is responsible for making sure that your care is properly planned and you get the help you need
remedy	Means by which right or privilege is enforced or violation of right or privilege is prevented, redressed or compensated
uphold	to allow a lower court's decision to stand as is
child	An individual entitled to take as a child under the probate code; by Intestate succession from the parent whose relationship is involved and excludes a person who is only a stepchild, a foster child, a grandchild, or any more remote descendant.
pleadings	That part of a party’s case in which he/she formally sets out the facts and legal argument which support that party’s position.
moral turpitude	Immorality, depravity; conduct so wicked as to be shocking to the community's moral sense.
non pros	Abbreviation of non prosequitur.
alias	indicating one was called by one or the other of two names.
restitution	The act of restoring or giving the equivalent for an injury, damage, or loss.
proceeding	A legal action
tenant	A person who rents property.
judicial review	Authority of court to review and declare unconstitutional actions of other branches of government.
waiver of fees	An action for an order permitting a person to obtain a good or service without having to pay the standard fee.
trust items	The specific things held in trust.
mortgage	A mortgage is an interest in land created by a written instrument providing security for the performance of a duty or the payment of a debt.
intestate succession	Process by which property of person who has died without a will or whose will has been revoked is distributed to others
dependent	In family law, refers to a person who is financially supported by another person, usually the parent
chief justice	Presiding justice of the Arizona Supreme Court.
malfeasance	Performance of an act that should not have been done at all
lease	Includes an oil, gas or other mineral lease.
declaration of invalidity	A court order that your marriage is null and void and has been null and void since the time of marriage
immediate cause	Last event in a series of events which causes another event, particularly an injury, to occur
c.p.c.	Abbreviation for "Colorado Probate Code".
embezzlement	Fraudulently taking property or money entrusted to one individual by another.
circuit court	an informal name for a U.S
homicide	The killing of another person
attorney	A lawyer; one who is licensed to act as a representative for another in a legal matter or proceeding; one who is licensed to practice law
certified	A copy is "certified" when the keeper of the records puts a stamp or seal on the copy and "certifies" that it is identical to the original.
substantive law	Law which creates, defines and regulates rights
